FID,OBJECTID,LENGTH,PEREN_ID,LU_CODE,STREAM_NM,FLAG,STREAM_COD,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
84,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755436244999,21.314378367000,839.2369995
85,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755477584000,21.314473530000,842.3690186
86,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755489259999,21.314518787000,844.1530151
87,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755559772999,21.314736117000,849.8070068
88,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755982495000,21.315484518000,877.1970215
89,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756041568999,21.315624977000,879.2189941
90,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756053852999,21.315747024000,888.7600098
91,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756041893000,21.315873411000,901.8930054
92,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755995070000,21.316428631000,954.1500244
93,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756024717999,21.316487570000,953.9580078
94,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756159609999,21.316637614000,957.3989868
95,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756200705999,21.316768907000,963.5360107
96,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756218179999,21.316972299000,978.7119751
97,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756183246000,21.317112061000,989.5289917
98,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756159830000,21.317170600000,996.2130127
99,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755948530000,21.317367776000,1017.429993
100,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755871554999,21.317502714000,1024.430054
101,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755841836000,21.317597342000,1030.369995
102,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755836571999,21.317782495000,1037.900024
103,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755824802000,21.317904366000,1044.719971
104,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755753709999,21.318034818000,1049.76001
105,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755565791000,21.318304439000,1073.51001
106,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755518942000,21.318430561000,1080.930054
107,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755496133000,21.318565900000,1087.619995
108,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755266943999,21.319029428000,1120.349976
109,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755195844000,21.319164407000,1124.819946
110,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755184302000,21.319259169000,1126.140015
111,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755026278999,21.319547082000,1142.439941
112,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755019960999,21.319592205000,1144.329956
113,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754973355999,21.319682195000,1151.569946
