"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"22",22,52.60334735,5.224537757,57.3645861,106889.4334,5.5,0,0,1.58,3.08,0.64,3.72,0.25,3.01,0.676,3.48023175132669e-05,"Very urbanized (More than 45 % Impervious)"
"23",23,58.75297863,2.091764046,60.15848873,712111.0521,5.5,0,0,1.38,3.2,0.67,3.86,1.71,17.19,0.702,5.4205028676594e-06,"Very urbanized (More than 45 % Impervious)"
"24",24,65.60653952,29.28704431,0.81502431,5956372.531,5.5,0,0,3.17,0.04,0.61,0.66,2.45,12.46,0.12,1.10805695339743e-07,"Natural (less than 15 % Impervious)"
"25",25,61.670282,27.32156393,26.67894757,434355.6042,5.5,0,0,2.46,1.43,1.3,2.73,0.74,7.24,0.496,6.28517273312989e-06,"Urbanized (Between 15 and 45 % Impervious)"
"26",26,52.48623249,2.385881052,52.66356043,206507.8416,5.5,0,0,1.75,2.82,0.7,3.52,0.45,5,0.64,1.70453575647657e-05,"Very urbanized (More than 45 % Impervious)"
"27",27,61.07520389,27.94698162,13.33065868,702726.8756,5.5,0,0,2.93,0.72,1.49,2.21,0.97,8.5,0.402,3.14489181606021e-06,"Natural (less than 15 % Impervious)"
"28",28,58.22900794,9.695153025,45.64873898,1400354.976,5.5,0,0,1.9,2.43,0.9,3.33,2.91,29.91,0.606,2.3779684844709e-06,"Very urbanized (More than 45 % Impervious)"
"29",29,46.60531394,4.303892997,63.75089696,62214.51584,5.5,0,0,1.42,3.42,0.47,3.88,0.15,1.93,0.706,6.2364866906276e-05,"Very urbanized (More than 45 % Impervious)"
"30",30,41.09880832,1.17347833,28.87544298,106274.8041,5.5,0,0,2.92,1.55,0.76,2.31,0.15,1.78,0.42,2.17361021698651e-05,"Urbanized (Between 15 and 45 % Impervious)"
"31",31,58.70699023,10.27077404,47.00969557,229731.4536,5.5,0,0,1.84,2.52,0.92,3.44,0.49,5.59,0.625,1.49740052835325e-05,"Very urbanized (More than 45 % Impervious)"
"32",32,36.36264424,1.91627193,55.41356127,201517.2728,5.5,0,0,1.9,2.96,0.42,3.37,0.42,4.83,0.614,1.67231322316704e-05,"Very urbanized (More than 45 % Impervious)"
"33",33,36.43171719,2.383154493,52.76045359,326340.5269,5.5,0,0,2.01,2.82,0.44,3.26,0.66,7.61,0.593,9.98956528926288e-06,"Very urbanized (More than 45 % Impervious)"
"34",34,50.45073099,6.571679077,55.84532683,439337.823,5.5,0,0,1.67,2.98,0.62,3.6,0.99,11.08,0.654,8.1941499491611e-06,"Very urbanized (More than 45 % Impervious)"
"35",35,36.38428664,2.502320422,58.1059099,163977.2857,5.5,0,0,1.78,3.11,0.4,3.5,0.36,4.24,0.637,2.13444196558011e-05,"Very urbanized (More than 45 % Impervious)"
"36",36,36.48504283,3.413503412,57.37834523,103198.2434,5.5,0,0,1.81,3.07,0.4,3.48,0.22,2.67,0.632,3.37215042169991e-05,"Very urbanized (More than 45 % Impervious)"
