OBJECTID,OBJECTID_1,Area_acres,curve_numbers_csv_CN,AREA,PERCENTAGE
92,16,5.875554336140000,91,0.065853584161000,0.967759668834772
93,17,5.626975303210000,36,0.736126931390686,11.297103336947675
94,17,5.626975303210000,39,0.020756852043242,0.318548734576571
95,17,5.626975303210000,55,3.502471676915601,53.751306712956136
96,17,5.626975303210000,62,0.812358941573306,12.467011487148534
97,17,5.626975303210000,73,1.102337106725024,16.917213154120031
98,17,5.626975303210000,74,0.147521912735898,2.263971363597772
99,17,5.626975303210000,91,0.103660707525476,1.590847549462756
100,17,5.626975303210000,94,0.104896234432812,1.609808783663742
101,18,6.756516147270000,55,4.839558896034433,61.849443483314623
102,18,6.756516147270000,62,1.690818572689079,21.608619710726593
103,18,6.756516147270000,73,0.661501106187602,8.453967842983571
104,18,6.756516147270000,74,0.264526310860600,3.380639736986893
105,18,6.756516147270000,79,0.278734870294962,3.562224776572831
106,19,6.964834351270000,36,6.017510249488410,74.617727987478972
107,19,6.964834351270000,39,1.826108769042352,22.643931086870463
108,19,6.964834351270000,55,0.155429284942847,1.927338654078691
109,19,6.964834351270000,62,0.013467243289961,0.166995161601413
110,19,6.964834351270000,73,0.056216474283780,0.697089894758191
111,19,6.964834351270000,74,0.077096879017756,0.956008998525519
112,20,74.837205948800005,36,3.294532498410982,3.801063842182496
113,20,74.837205948800005,42,0.649392942495711,0.749236510576081
114,20,74.837205948800005,55,7.306535471911878,8.429908585604586
115,20,74.837205948800005,60,7.490011217651248,8.641593558626939
116,20,74.837205948800005,61,0.473701016272556,0.546532112166799
117,20,74.837205948800005,62,22.018325015631767,25.403622250716023
118,20,74.837205948800005,73,14.878215018138023,17.165726903267061
119,20,74.837205948800005,74,0.183599298430104,0.211827521825734
120,20,74.837205948800005,79,29.074666288808139,33.544869509471944
121,20,74.837205948800005,80,0.049173970911966,0.056734423746058
122,20,74.837205948800005,91,1.219835715612662,1.407384335791029
123,21,1.809758029410000,36,1.522663360600673,72.662860832542734
124,21,1.809758029410000,39,0.145297964302693,6.933749134945655
125,21,1.809758029410000,55,0.260819730138593,12.446551380842074
126,21,1.809758029410000,73,0.072772534842080,3.472770612655605
127,21,1.809758029410000,74,0.104031365597677,4.964470043898165
128,22,2.453853394570000,36,1.000776794942020,35.218778798296732
129,22,2.453853394570000,39,0.072278324079146,2.543578468765875
130,22,2.453853394570000,55,1.047356159348580,36.857973811501410
131,22,2.453853394570000,73,0.638396753020422,22.466102475407311
132,22,2.453853394570000,74,0.094147150338990,3.313174005469397
133,23,16.347885700500001,36,0.611585819131234,3.230912260656742
134,23,16.347885700500001,39,0.236109191991876,1.247327945477785
135,23,16.347885700500001,55,13.357775605970556,70.567040030028878
136,23,16.347885700500001,62,0.294796720090328,1.557364980591310
137,23,16.347885700500001,73,0.502612345904214,2.655222439666995
138,23,16.347885700500001,74,3.974072297445686,20.994402598792743
139,24,136.701278456000011,36,37.001065610130397,23.369519848547611
140,24,136.701278456000011,42,0.105513997886480,0.066641633889392
141,24,136.701278456000011,55,2.653911796957356,1.676185358248417
142,24,136.701278456000011,60,1.468423729368630,0.927442410744061
143,24,136.701278456000011,62,12.057754194071800,7.615562452615430
144,24,136.701278456000011,73,38.130707861507545,24.082991111604652
145,24,136.701278456000011,74,0.011861058310424,0.007491331210049
146,24,136.701278456000011,77,0.916637412552450,0.578939440076583
147,24,136.701278456000011,79,66.082774402310363,41.737249524485890
148,24,136.701278456000011,91,0.003706580722007,0.002341041003140
149,25,9.971472488170001,55,1.591605762030012,13.783554978525359
150,25,9.971472488170001,62,9.726191367238361,84.230339346723710
151,25,9.971472488170001,73,0.053004104324707,0.459023838362628
152,25,9.971472488170001,74,0.022486589713512,0.194737385972024
153,25,9.971472488170001,79,0.054239631232043,0.469723694734718
154,25,9.971472488170001,80,0.128989009125860,1.117065005246117
155,25,9.971472488170001,94,0.099830574112735,0.864548394864810
156,26,4.740786677000000,36,1.073919987856300,19.563481319302163
157,26,4.740786677000000,39,0.289607507079518,5.275747838523271
158,26,4.740786677000000,55,3.480355745274289,63.401254634540095
159,26,4.740786677000000,73,0.043366994447488,0.790011728379551
160,26,4.740786677000000,74,0.556604871754790,10.139609220370021
161,27,16.132025282699999,42,0.662118869641270,3.544230972955857
162,27,16.132025282699999,55,2.592382556972031,13.876666220294792
163,27,16.132025282699999,61,0.084015829698836,0.449725146782979
164,27,16.132025282699999,62,14.213501541991350,76.082913067520408
165,27,16.132025282699999,73,1.035618653728890,5.543523794610188
166,27,16.132025282699999,74,0.138873224384547,0.743369213211865
167,27,16.132025282699999,80,0.058193317335517,0.311500800198210
168,28,32.147855045999997,36,4.524870192735998,12.155328327002847
169,28,32.147855045999997,39,1.159542002534673,3.114921124673613
170,28,32.147855045999997,55,17.363353839553305,46.643827952571279
171,28,32.147855045999997,62,3.743522976536821,10.056366026263804
172,28,32.147855045999997,73,5.062818608190017,13.600439310149239
173,28,32.147855045999997,74,3.803940242305543,10.218667190884515
174,28,32.147855045999997,79,1.436423582468632,3.858718486463018
175,29,1.428254469690000,36,0.805069332820025,48.674858486976412
176,29,1.428254469690000,39,0.147151254663697,8.896831868936294
177,29,1.428254469690000,55,0.512373008472167,30.978305424415463
178,29,1.428254469690000,73,0.127259271455590,7.694153505461279
179,29,1.428254469690000,74,0.072896087532814,4.407330648759373
180,30,2.439743402480000,36,2.026017022649289,71.716075220040537
181,30,2.439743402480000,39,0.260572624757126,9.223637189844219
182,30,2.439743402480000,55,0.316912651731640,11.217937122783509
183,30,2.439743402480000,73,0.058687528098452,2.077395763478428
184,30,2.439743402480000,74,0.140726514745551,4.981376367583009
185,31,5.273929580200000,36,0.471106409767151,7.713604730979987
186,31,5.273929580200000,39,0.089575700781847,1.466657075782977
187,31,5.273929580200000,55,3.600078302595132,58.945453619537084
188,31,5.273929580200000,62,0.205097466617747,3.358138959723781
189,31,5.273929580200000,73,1.301256938806093,21.305975616753532
