"link","x","y"
"C6228",-157.759067767,21.274633472
"C6228",-157.758790829,21.274731287
"C6228",-157.758596138,21.274801225
"C31186",-157.746765744,21.286039001
"C31186",-157.746687913,21.285894812
"C50802",-157.747506666,21.286883335
"C50802",-157.747332599,21.286297062
"C6461",-157.757143209,21.274030784
"C6461",-157.756702881,21.274118344
"C23110",-157.745728337,21.29168057
"C23110",-157.745733164,21.291604192
"C3201",-157.753029223,21.284127041
"C3201",-157.753361641,21.283992726
"C46906",-157.754366685,21.289688112
"C46906",-157.754279265,21.289709491
"C54201",-157.754519159,21.284101063
"C54201",-157.753577998,21.284466323
"C19051",-157.748550311,21.2815083585
"C19051",-157.749782397,21.281162516
"C19051",-157.750151141,21.281080741
"C19051",-157.750259487,21.281057503
"C27587",-157.745325171,21.281711934
"C27587",-157.74547899,21.281640034
"C27587",-157.745545743,21.281613915
"C27587",-157.745629704,21.281591856
"C27587",-157.745711499,21.281577862
"C27587",-157.745810492,21.281573977
"C27587",-157.745877198,21.281576094
"C27587",-157.746334187,21.281633362
"C5464",-157.757815428,21.282758126
"C5464",-157.757677694,21.282791068
"C5464",-157.757536278,21.282830091
"C5881",-157.746862984,21.288893539
"C5881",-157.74714367,21.288556424
"C34897",-157.748521396,21.278474991
"C34897",-157.748225077,21.278348899
"C34897",-157.748003374,21.277511628
"C47280",-157.746687913,21.285894812
"C47280",-157.746605176,21.285766623
"C6457",-157.747428675,21.279242399
"C6457",-157.74744109,21.279281388
"C6457",-157.747521755,21.279641686
"C41672",-157.756812424,21.282064748
"C41672",-157.756757336,21.282074712
"C34492",-157.757541852,21.287933061
"C34492",-157.757445929,21.287990774
"C54454",-157.744244176,21.28396851
"C54454",-157.744256391,21.283441384
"C29283",-157.74359337,21.290416846
"C29283",-157.743465807,21.290307327
"C57157",-157.747218225,21.285115704
"C57157",-157.747230707,21.284979529
"C27594",-157.756377396,21.297300751
"C27594",-157.756213718,21.297261052
"C47318",-157.757749778,21.276000044
"C47318",-157.757684754,21.275800796
"C47318",-157.757621956,21.275588862
"C47318",-157.757516777,21.275251243
"C47318",-157.757489764,21.275156788
"C40091",-157.746765339,21.283879631
"C40091",-157.746142777,21.283535827
"C4527",-157.756837873,21.287123916
"C4527",-157.757333964,21.286862124
"C10987",-157.747840376,21.292961193
"C10987",-157.747784235,21.292901901
"C36287",-157.757267182,21.283567431
"C36287",-157.756518963,21.284137693
"C36287",-157.75644793,21.284242048
"C36287",-157.756362857,21.2843040735
"C4325",-157.754180097,21.284652969
"C4325",-157.753750992,21.284844998
"C22262",-157.746748183,21.283996158
"C22262",-157.746765339,21.283879631
