STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TIME,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780407,19:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780409,12:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780410,6:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780411,8:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780419,21:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780419,21:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780419,21:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780419,22:15,-9999, , , ,999.99,a, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780419,23:00,-9999, , , ,0.1,A, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780420,7:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780420,14:15,-9999, , , ,999.99,a, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780420,15:00,-9999, , , ,0.2,A, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780420,15:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780420,15:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780426,5:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780426,5:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780501,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780601,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780614,4:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780614,19:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,3:45,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,6:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,7:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,12:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,20:30,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780628,21:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780701,0:15,-9999, , , ,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780706,2:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780709,10:15,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780710,4:00,-9999, , , ,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.1,21.3,-157.65,19780711,8:00,-9999, , , ,0.1, , ,HT
