"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"C28249","J371","J368",60.7487817514953,0.01,0,0,0,0
"C28249","J368","J611",2569.91847997176,0.01,0,0,0,0
"C28316","J611","J635",229.465934420244,0.3,0,0,0,0
"C28316","J635","J637",198.251289061802,0.3,0,0,0,0
"C28324","J637","J651",227.845332552953,0.63,0,0,0,0
"C28324","J651","J335",2887.08991228051,0.63,0,0,0,0
"C28968","J335","J328",31.879489921074,0.01,0,0,0,0
"C28968","J328","J341",2933.6981007618,0.01,0,0,0,0
"C29053","J341","J359",140.16150329808,0.01,0,0,0,0
"C29053","J359","J461",2524.85083110045,0.01,0,0,0,0
"C29107","J461","J460",33.5260785158472,1.19,0,0,0,0
"C29107","J460","J446",593.413964307269,1.19,0,0,0,0
"C29108","J446","J450",88.1568683111162,1.32,0,0,0,0
"C29108","J450","J257",2048.45297184028,1.32,0,0,0,0
"C29119","J257","J268",77.8925521764479,0.01,0,0,0,0
"C29119","J268","J343",1229.27043456506,0.01,0,0,0,0
"C29146","J343","J350",40.8454776416421,0.01,0,0,0,0
"C29146","J350","J138",2304.08678699681,0.01,0,0,0,0
"C29148","J138","J127",63.5998254142701,0.01,0,0,0,0
"C29148","J127","J49",1301.94115141342,0.01,0,0,0,0
"C29206","J49","J63",102.818185893129,0.01,0,0,0,0
"C29206","J63","J419",3316.08014138092,0.01,0,0,0,0
"C29279","J419","J417",101.695272564981,0.01,0,0,0,0
"C29279","J417","J667",3061.36161309025,0.01,0,0,0,0
"C29283","J667","J669",59.027543237335,0.01,0,0,0,0
"C29283","J669","J41",7528.13878216629,0.01,0,0,0,0
"C29434","J41","J46",81.6098990088531,0.01,0,0,0,0
"C29434","J46","J164",9727.04118721815,0.01,0,0,0,0
"C29513","J164","J120",198.193326947119,0.01,0,0,0,0
"C29513","J120","J574",6467.6372365182,0.01,0,0,0,0
"C29547","J574","J543",196.296418855466,0.01,0,0,0,0
"C29547","J543","J534",2666.05402308219,0.01,0,0,0,0
"C29608","J534","J520",160.267927741391,0.01,0,0,0,0
"C29608","J520","J626",2550.92874708188,0.01,0,0,0,0
"C29645","J626","J616",161.314254641494,0.01,0,0,0,0
"C29645","J616","J474",1893.34731384029,0.01,0,0,0,0
"C29681","J474","J462",376.402698212693,0.01,0,0,0,0
"C29681","J462","J79",2946.62013279856,0.01,0,0,0,0
"C29682","J79","J83",21.956591343011,0.01,0,0,0,0
"C29682","J83","J233",800.783342441625,0.01,0,0,0,0
"C29683","J233","J259",124.021545453943,0.01,0,0,0,0
"C29683","J259","J512",4616.633471388,0.01,0,0,0,0
"C29872","J512","J523",47.7484302025817,0.01,0,0,0,0
"C29872","J523","J505",1081.94933613291,0.01,0,0,0,0
"C29889","J505","J508",139.661813852567,0.48,0,0,0,0
"C29889","J508","J468",345.366071210276,0.48,0,0,0,0
"C29890","J468","J457",185.906980587579,0.29,0,0,0,0
"C29890","J457","J471",481.393746793624,0.29,0,0,0,0
"C29902","J471","J479",134.376926450629,1.14,0,0,0,0
"C29902","J479","J473",203.608876273232,1.14,0,0,0,0
"C29903","J473","J487",140.113433624014,0.34,0,0,0,0
"C29903","J487","J542",859.928734227119,0.34,0,0,0,0
"C29904","J542","J505",400.170532098031,0.01,0,0,0,0
"C29904","J505","J368",2255.7503657454,0.01,0,0,0,0
"C30018","J368","J365",64.774503310046,0.01,0,0,0,0
"C30018","J365","J624",2839.09548095295,0.01,0,0,0,0
"C30126","J624","J635",238.223359950863,0.5,0,0,0,0
"C30126","J635","J317",2872.76056129036,0.5,0,0,0,0
"C3013","J317","J297",113.999357014318,0.01,0,0,0,0
"C3013","J297","J328",192.821946800262,0.01,0,0,0,0
"C3014","J328","J317",78.8741097758444,0.01,0,0,0,0
"C3014","J317","J6",6337.20773444695,0.01,0,0,0,0
"C3015","J6","J12",152.19329451868,0.01,0,0,0,0
"C3015","J12","J223",8669.22766447057,0.01,0,0,0,0
"C30426","J223","J216",158.591294463934,0.01,0,0,0,0
"C30426","J216","J205",4971.06686058927,0.01,0,0,0,0
"C3086","J205","J253",191.037459008797,0.01,0,0,0,0
