"node","x","y"
"J218",-157.754567266,21.295810036
"J8",-157.757848159,21.282553307
"J36",-157.757306566,21.282309333
"J431",-157.748743924,21.281724391
"J439",-157.748554491,21.2815034
"J242",-157.754281003,21.289105925
"J257",-157.754086725,21.289136006
"J644",-157.744503095,21.280511236
"J639",-157.744566043,21.280428667
"J430",-157.748823544,21.292839699
"J429",-157.748844113,21.292746991
"J130",-157.755897164,21.282267213
"J153",-157.755575781,21.2817308542
"J629",-157.744783686,21.289455585
"J627",-157.744795451,21.289075576
"J338",-157.752471376,21.288820349
"J362",-157.752180722,21.288519338
"J347",-157.752388119,21.288986582
"J352",-157.75230717,21.289090577
"J577",-157.745830913,21.287713222
"J600",-157.7454814,21.287473222
"J232",-157.754421301,21.291068245
"J208",-157.754659758,21.291189121
"J561",-157.746137586,21.293119756
"J490",-157.747419152,21.292696023
"J200",-157.754709468,21.299570279
"J196",-157.754762667,21.299111717
"J584",-157.745729855,21.280746014
"J593",-157.745640182,21.280727849
"J304",-157.753046684,21.28971864
"J308",-157.753015534,21.289683344
