"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
248,"CIRCULAR","24",0,0,0,NA,0
249,"CIRCULAR","24",0,0,0,NA,0
250,"CIRCULAR","42",0,0,0,NA,0
251,"CIRCULAR","42",0,0,0,NA,0
252,"CIRCULAR","48",0,0,0,NA,0
253,"CIRCULAR","48",0,0,0,NA,0
254,"CIRCULAR","18",0,0,0,NA,0
255,"CIRCULAR","18",0,0,0,NA,0
256,"CIRCULAR","48",0,0,0,NA,0
257,"CIRCULAR","48",0,0,0,NA,0
258,"CIRCULAR","42",0,0,0,NA,0
259,"CIRCULAR","42",0,0,0,NA,0
260,"CIRCULAR","18",0,0,0,NA,0
261,"CIRCULAR","18",0,0,0,NA,0
262,"CIRCULAR","12",0,0,0,NA,0
263,"CIRCULAR","12",0,0,0,NA,0
264,"CIRCULAR","12",0,0,0,NA,0
265,"CIRCULAR","12",0,0,0,NA,0
266,"CIRCULAR","30",0,0,0,NA,0
267,"CIRCULAR","30",0,0,0,NA,0
268,"CIRCULAR","24",0,0,0,NA,0
269,"CIRCULAR","24",0,0,0,NA,0
270,"CIRCULAR","24",0,0,0,NA,0
271,"CIRCULAR","24",0,0,0,NA,0
272,"CIRCULAR","18",0,0,0,NA,0
273,"CIRCULAR","18",0,0,0,NA,0
274,"CIRCULAR","24",0,0,0,NA,0
275,"CIRCULAR","24",0,0,0,NA,0
276,"CIRCULAR","18",0,0,0,NA,0
277,"CIRCULAR","18",0,0,0,NA,0
278,"CIRCULAR","18",0,0,0,NA,0
279,"CIRCULAR","18",0,0,0,NA,0
280,"CIRCULAR","18",0,0,0,NA,0
281,"CIRCULAR","18",0,0,0,NA,0
282,"CIRCULAR","18",0,0,0,NA,0
283,"CIRCULAR","18",0,0,0,NA,0
284,"CIRCULAR","30",0,0,0,NA,0
285,"CIRCULAR","30",0,0,0,NA,0
286,"CIRCULAR","18",0,0,0,NA,0
287,"CIRCULAR","18",0,0,0,NA,0
288,"CIRCULAR","18",0,0,0,NA,0
289,"CIRCULAR","18",0,0,0,NA,0
290,"CIRCULAR","18",0,0,0,NA,0
291,"CIRCULAR","18",0,0,0,NA,0
292,"CIRCULAR","18",0,0,0,NA,0
293,"CIRCULAR","18",0,0,0,NA,0
294,"CIRCULAR","18",0,0,0,NA,0
295,"CIRCULAR","18",0,0,0,NA,0
296,"CIRCULAR","18",0,0,0,NA,0
297,"CIRCULAR","18",0,0,0,NA,0
298,"CIRCULAR","18",0,0,0,NA,0
299,"CIRCULAR","18",0,0,0,NA,0
300,"CIRCULAR","18",0,0,0,NA,0
301,"CIRCULAR","18",0,0,0,NA,0
302,"CIRCULAR","18",0,0,0,NA,0
303,"CIRCULAR","18",0,0,0,NA,0
308,"CIRCULAR","18",0,0,0,NA,0
309,"CIRCULAR","18",0,0,0,NA,0
310,"CIRCULAR","42",0,0,0,NA,0
311,"CIRCULAR","42",0,0,0,NA,0
312,"CIRCULAR","42",0,0,0,NA,0
313,"CIRCULAR","42",0,0,0,NA,0
314,"CIRCULAR","24",0,0,0,NA,0
315,"CIRCULAR","24",0,0,0,NA,0
316,"CIRCULAR","24",0,0,0,NA,0
317,"CIRCULAR","24",0,0,0,NA,0
318,"CIRCULAR","24",0,0,0,NA,0
319,"CIRCULAR","24",0,0,0,NA,0
320,"CIRCULAR","48",0,0,0,NA,0
321,"CIRCULAR","48",0,0,0,NA,0
322,"CIRCULAR","18",0,0,0,NA,0
323,"CIRCULAR","18",0,0,0,NA,0
324,"CIRCULAR","18",0,0,0,NA,0
325,"CIRCULAR","18",0,0,0,NA,0
326,"CIRCULAR","18",0,0,0,NA,0
327,"CIRCULAR","18",0,0,0,NA,0
328,"CIRCULAR","18",0,0,0,NA,0
329,"CIRCULAR","18",0,0,0,NA,0
330,"CIRCULAR","18",0,0,0,NA,0
331,"CIRCULAR","18",0,0,0,NA,0
332,"CIRCULAR","24",0,0,0,NA,0
333,"CIRCULAR","24",0,0,0,NA,0
334,"CIRCULAR","24",0,0,0,NA,0
335,"CIRCULAR","24",0,0,0,NA,0
336,"CIRCULAR","18",0,0,0,NA,0
337,"CIRCULAR","18",0,0,0,NA,0
338,"CIRCULAR","42",0,0,0,NA,0
339,"CIRCULAR","42",0,0,0,NA,0
340,"CIRCULAR","18",0,0,0,NA,0
341,"CIRCULAR","18",0,0,0,NA,0
348,"CIRCULAR","18",0,0,0,NA,0
349,"CIRCULAR","18",0,0,0,NA,0
350,"CIRCULAR","24",0,0,0,NA,0
351,"CIRCULAR","24",0,0,0,NA,0
358,"CIRCULAR","24",0,0,0,NA,0
359,"CIRCULAR","24",0,0,0,NA,0
362,"CIRCULAR","18",0,0,0,NA,0
363,"CIRCULAR","18",0,0,0,NA,0
368,"CIRCULAR","30",0,0,0,NA,0
369,"CIRCULAR","30",0,0,0,NA,0
370,"CIRCULAR","18",0,0,0,NA,0
371,"CIRCULAR","18",0,0,0,NA,0
372,"CIRCULAR","36",0,0,0,NA,0
373,"CIRCULAR","36",0,0,0,NA,0
374,"CIRCULAR","24",0,0,0,NA,0
375,"CIRCULAR","24",0,0,0,NA,0
376,"CIRCULAR","18",0,0,0,NA,0
377,"CIRCULAR","18",0,0,0,NA,0
378,"CIRCULAR","36",0,0,0,NA,0
379,"CIRCULAR","36",0,0,0,NA,0
380,"CIRCULAR","18",0,0,0,NA,0
381,"CIRCULAR","18",0,0,0,NA,0
382,"CIRCULAR","24",0,0,0,NA,0
383,"CIRCULAR","24",0,0,0,NA,0
384,"CIRCULAR","18",0,0,0,NA,0
385,"CIRCULAR","18",0,0,0,NA,0
386,"CIRCULAR","30",0,0,0,NA,0
387,"CIRCULAR","30",0,0,0,NA,0
388,"CIRCULAR","24",0,0,0,NA,0
389,"CIRCULAR","24",0,0,0,NA,0
390,"CIRCULAR","18",0,0,0,NA,0
391,"CIRCULAR","18",0,0,0,NA,0
392,"CIRCULAR","24",0,0,0,NA,0
393,"CIRCULAR","24",0,0,0,NA,0
394,"CIRCULAR","24",0,0,0,NA,0
395,"CIRCULAR","24",0,0,0,NA,0
396,"CIRCULAR","18",0,0,0,NA,0
397,"CIRCULAR","18",0,0,0,NA,0
398,"CIRCULAR","18",0,0,0,NA,0
399,"CIRCULAR","18",0,0,0,NA,0
406,"CIRCULAR","18",0,0,0,NA,0
407,"CIRCULAR","18",0,0,0,NA,0
408,"CIRCULAR","18",0,0,0,NA,0
409,"CIRCULAR","18",0,0,0,NA,0
410,"CIRCULAR","36",0,0,0,NA,0
411,"CIRCULAR","36",0,0,0,NA,0
412,"CIRCULAR","36",0,0,0,NA,0
413,"CIRCULAR","36",0,0,0,NA,0
414,"CIRCULAR","24",0,0,0,NA,0
415,"CIRCULAR","24",0,0,0,NA,0
416,"CIRCULAR","18",0,0,0,NA,0
417,"CIRCULAR","18",0,0,0,NA,0
418,"CIRCULAR","42",0,0,0,NA,0
419,"CIRCULAR","42",0,0,0,NA,0
420,"CIRCULAR","30",0,0,0,NA,0
421,"CIRCULAR","30",0,0,0,NA,0
422,"CIRCULAR","18",0,0,0,NA,0
423,"CIRCULAR","18",0,0,0,NA,0
424,"CIRCULAR","18",0,0,0,NA,0
