"name","rain_gage","outlet","area","imperv","width","slope","curblen"
80,"R1","O1",7.53674598448512,34.72397236,400,0,0
81,"R1","O1",6.63058768637696,53.67397184,400,0.202127771,0
82,"R1","O1",1.50391332748019,50.03240953,149.3288852,12.98454078,0
83,"R1","O1",5.7194065092992,0,217.7397256,33.80248846,0
84,"R1","O1",19.8028940884486,4.567331708,400,27.63411142,0
85,"R1","O1",6.59830672723648,0.488281567,400,30.45274774,0
86,"R1","O1",5.96628013944448,0,400,32.79587617,0
87,"R1","O1",5.06356749172736,0.354659927,301.7778016,32.53339197,0
88,"R1","O1",5.6437414245056,45.34938012,390.845496,12.4884884,0
89,"R1","O1",21.3431385964614,54.37988009,400,12.26721668,0
90,"R1","O1",21.1062191128493,3.833246125,400,32.04143777,0
91,"R1","O1",12.4768621065286,49.19776606,400,7.225773467,0
