"name","elevation","structure","maxdepth","initdepth","surdepth","aponded"
90,335.303009,"Man Hole",0,0,0,0
90,335.303009,"Man Hole",0,0,0,0
114,335.303009,NA,0,0,0,0
643,515.8129883,NA,0,0,0,0
640,515.8129883,NA,0,0,0,0
615,386.3580017,NA,0,0,0,0
616,386.3580017,NA,0,0,0,0
572,884.5490112,"Man Hole",0,0,0,0
562,884.5490112,"Man Hole",0,0,0,0
560,884.5490112,"Man Hole",0,0,0,0
578,884.5490112,"Catch Basin",0,0,0,0
601,754.7379761,NA,0,0,0,0
592,754.7379761,NA,0,0,0,0
632,256.4549866,NA,0,0,0,0
658,187.8580017,NA,0,0,0,0
632,256.4549866,NA,0,0,0,0
628,256.4549866,NA,0,0,0,0
221,374.6669922,"Grate/Drain Inlet",0,0,0,0
200,374.6669922,"Catch Basin",0,0,0,0
155,49.2882004,"Man Hole",0,0,0,0
190,9.6477804,"Man Hole",0,0,0,0
456,40.4692993,"Inlet/Outlet",0,0,0,0
440,40.4692993,NA,0,0,0,0
65,49.2882004,"Man Hole",0,0,0,0
79,49.2882004,"Man Hole",0,0,0,0
142,49.2882004,"Man Hole",0,0,0,0
143,35.9594002,"Man Hole",0,0,0,0
388,12.2589998,"Catch Basin",0,0,0,0
381,-1.43618,NA,0,0,0,0
401,12.2589998,"Man Hole",0,0,0,0
404,-1.43618,"Man Hole",0,0,0,0
256,253.3560028,"Catch Basin",0,0,0,0
265,189.2570038,"Catch Basin",0,0,0,0
44,299.4580078,"Catch Basin",0,0,0,0
50,299.4580078,"Man Hole",0,0,0,0
50,299.4580078,"Man Hole",0,0,0,0
58,269.072998,"Catch Basin",0,0,0,0
58,269.072998,"Catch Basin",0,0,0,0
64,269.072998,"Catch Basin",0,0,0,0
77,299.4580078,"Man Hole",0,0,0,0
94,299.4580078,"Catch Basin",0,0,0,0
437,754.0020142,"Catch Basin",0,0,0,0
428,724.7059937,"Catch Basin",0,0,0,0
579,836.4689941,NA,0,0,0,0
558,836.4689941,NA,0,0,0,0
433,540.5,"Man Hole",0,0,0,0
435,540.5,"Man Hole",0,0,0,0
435,540.5,"Man Hole",0,0,0,0
432,540.5,"Man Hole",0,0,0,0
480,763.1849976,NA,0,0,0,0
477,641.210022,"Man Hole",0,0,0,0
444,652.4310303,NA,0,0,0,0
433,540.5,"Man Hole",0,0,0,0
472,763.1849976,"Catch Basin",0,0,0,0
476,763.1849976,"Catch Basin",0,0,0,0
465,763.1849976,"Man Hole",0,0,0,0
463,763.1849976,"Man Hole",0,0,0,0
465,763.1849976,"Man Hole",0,0,0,0
467,763.1849976,"Man Hole",0,0,0,0
476,763.1849976,"Catch Basin",0,0,0,0
486,763.1849976,"Man Hole",0,0,0,0
486,763.1849976,"Man Hole",0,0,0,0
516,763.1849976,"Man Hole",0,0,0,0
516,763.1849976,"Man Hole",0,0,0,0
523,763.1849976,"Catch Basin",0,0,0,0
449,540.5,"Man Hole",0,0,0,0
448,540.5,"Man Hole",0,0,0,0
411,540.5,"Catch Basin",0,0,0,0
415,540.5,"Man Hole",0,0,0,0
415,540.5,"Man Hole",0,0,0,0
418,402.6629944,"Inlet/Outlet",0,0,0,0
481,923.8389893,"Catch Basin",0,0,0,0
478,923.8389893,"Catch Basin",0,0,0,0
538,923.8389893,"Man Hole",0,0,0,0
522,923.8389893,"Catch Basin",0,0,0,0
513,923.8389893,"Catch Basin",0,0,0,0
498,923.8389893,NA,0,0,0,0
500,923.8389893,"Catch Basin",0,0,0,0
473,859.6030273,"Catch Basin",0,0,0,0
468,859.6030273,"Catch Basin",0,0,0,0
473,859.6030273,"Catch Basin",0,0,0,0
430,724.7059937,"Catch Basin",0,0,0,0
429,724.7059937,"Man Hole",0,0,0,0
463,763.1849976,"Man Hole",0,0,0,0
464,763.1849976,"Man Hole",0,0,0,0
471,859.6030273,"Man Hole",0,0,0,0
447,724.7059937,"Catch Basin",0,0,0,0
479,859.6030273,"Grate/Drain Inlet",0,0,0,0
490,859.6030273,NA,0,0,0,0
490,859.6030273,NA,0,0,0,0
561,836.4689941,NA,0,0,0,0
465,763.1849976,"Man Hole",0,0,0,0
445,652.4310303,NA,0,0,0,0
365,226.7949982,"Man Hole",0,0,0,0
361,226.7949982,"Man Hole",0,0,0,0
597,836.4689941,NA,0,0,0,0
601,754.7379761,NA,0,0,0,0
552,836.4689941,NA,0,0,0,0
608,836.4689941,NA,0,0,0,0
551,763.1849976,NA,0,0,0,0
546,763.1849976,NA,0,0,0,0
10,167.7129974,NA,0,0,0,0
11,167.7129974,"Man Hole",0,0,0,0
420,256.7550049,NA,0,0,0,0
419,256.7550049,"Man Hole",0,0,0,0
16,342.3469849,NA,0,0,0,0
23,342.3469849,"Inlet/Outlet",0,0,0,0
150,191.8119965,"Man Hole",0,0,0,0
156,191.8119965,NA,0,0,0,0
225,374.6669922,NA,0,0,0,0
227,374.6669922,"Grate/Drain Inlet",0,0,0,0
221,374.6669922,"Grate/Drain Inlet",0,0,0,0
223,374.6669922,NA,0,0,0,0
296,17.9643002,"Catch Basin",0,0,0,0
291,17.9643002,"Catch Basin",0,0,0,0
193,26.9193993,"Catch Basin",0,0,0,0
205,26.9193993,"Catch Basin",0,0,0,0
231,9.6477804,"Man Hole",0,0,0,0
255,9.6477804,"Man Hole",0,0,0,0
198,253.3560028,"Man Hole",0,0,0,0
187,253.3560028,"Man Hole",0,0,0,0
378,3.0236299,"Catch Basin",0,0,0,0
391,-1.43618,NA,0,0,0,0
596,754.7379761,NA,0,0,0,0
602,754.7379761,NA,0,0,0,0
608,836.4689941,NA,0,0,0,0
597,836.4689941,NA,0,0,0,0
524,507.1589966,"Catch Basin",0,0,0,0
525,507.1589966,"Catch Basin",0,0,0,0
76,299.4580078,NA,0,0,0,0
77,299.4580078,"Man Hole",0,0,0,0
71,-0.0931948,"Man Hole",0,0,0,0
80,-0.0931948,NA,0,0,0,0
666,411.3519897,NA,0,0,0,0
663,411.3519897,NA,0,0,0,0
638,515.8129883,NA,0,0,0,0
646,293.6629944,NA,0,0,0,0
195,374.6669922,"Man Hole",0,0,0,0
189,374.6669922,"Catch Basin",0,0,0,0
441,40.4692993,NA,0,0,0,0
402,12.2589998,"Man Hole",0,0,0,0
145,35.9594002,"Man Hole",0,0,0,0
233,9.6477804,"Man Hole",0,0,0,0
143,35.9594002,"Man Hole",0,0,0,0
145,35.9594002,"Man Hole",0,0,0,0
387,439.7179871,NA,0,0,0,0
374,166.0939941,"Inlet/Outlet",0,0,0,0
227,374.6669922,"Grate/Drain Inlet",0,0,0,0
235,316.0440063,NA,0,0,0,0
553,386.3580017,"Grate/Drain Inlet",0,0,0,0
502,365.8829956,"Man Hole",0,0,0,0
209,78.2424011,"Man Hole",0,0,0,0
254,78.2424011,"Man Hole",0,0,0,0
206,189.2570038,"Catch Basin",0,0,0,0
192,189.2570038,"Catch Basin",0,0,0,0
623,643.4370117,NA,0,0,0,0
631,643.4370117,NA,0,0,0,0
190,9.6477804,"Man Hole",0,0,0,0
231,9.6477804,"Man Hole",0,0,0,0
362,166.0939941,"Man Hole",0,0,0,0
366,166.0939941,"Man Hole",0,0,0,0
293,166.0939941,"Man Hole",0,0,0,0
290,166.0939941,"Man Hole",0,0,0,0
68,335.303009,"Catch Basin",0,0,0,0
81,335.303009,"Man Hole",0,0,0,0
174,409.70401,"Catch Basin",0,0,0,0
164,363.8789978,"Catch Basin",0,0,0,0
670,531.65802,NA,0,0,0,0
671,531.65802,NA,0,0,0,0
130,52.8501015,"Man Hole",0,0,0,0
153,49.2882004,NA,0,0,0,0
250,9.6477804,"Catch Basin",0,0,0,0
260,9.6477804,"Man Hole",0,0,0,0
260,9.6477804,"Man Hole",0,0,0,0
263,9.6477804,"Man Hole",0,0,0,0
89,299.4580078,"Catch Basin",0,0,0,0
107,299.4580078,"Catch Basin",0,0,0,0
8,167.7129974,NA,0,0,0,0
36,167.7129974,"Man Hole",0,0,0,0
96,57.0390015,"Catch Basin",0,0,0,0
148,52.8501015,"Man Hole",0,0,0,0
276,21.5207996,"Man Hole",0,0,0,0
255,9.6477804,"Man Hole",0,0,0,0
308,226.7949982,"Man Hole",0,0,0,0
312,226.7949982,"Man Hole",0,0,0,0
352,166.0939941,"Man Hole",0,0,0,0
356,166.0939941,"Man Hole",0,0,0,0
282,97.260498,"Man Hole",0,0,0,0
277,45.7737999,"Man Hole",0,0,0,0
214,119.4970016,"Man Hole",0,0,0,0
180,119.4970016,"Man Hole",0,0,0,0
151,105.5469971,"Catch Basin",0,0,0,0
158,105.5469971,"Man Hole",0,0,0,0
382,48.7173996,"Man Hole",0,0,0,0
349,17.9643002,"Man Hole",0,0,0,0
24,167.7129974,"Man Hole",0,0,0,0
52,52.8501015,"Man Hole",0,0,0,0
166,7.4626098,"Man Hole",0,0,0,0
219,0.0391334,NA,0,0,0,0
527,224.9929962,"Catch Basin",0,0,0,0
526,224.9929962,"Man Hole",0,0,0,0
491,641.210022,"Catch Basin",0,0,0,0
494,641.210022,"Catch Basin",0,0,0,0
110,-0.0931948,"Man Hole",0,0,0,0
111,-0.0931948,"Man Hole",0,0,0,0
104,269.072998,"Man Hole",0,0,0,0
118,269.072998,NA,0,0,0,0
534,859.6030273,"Man Hole",0,0,0,0
558,836.4689941,NA,0,0,0,0
170,78.2424011,"Catch Basin",0,0,0,0
181,78.2424011,"Man Hole",0,0,0,0
585,836.4689941,NA,0,0,0,0
583,836.4689941,NA,0,0,0,0
348,17.9643002,NA,0,0,0,0
321,17.9643002,NA,0,0,0,0
314,226.7949982,"Man Hole",0,0,0,0
318,226.7949982,"Man Hole",0,0,0,0
338,166.0939941,"Man Hole",0,0,0,0
362,166.0939941,"Man Hole",0,0,0,0
429,724.7059937,"Man Hole",0,0,0,0
453,724.7059937,"Man Hole",0,0,0,0
239,119.4970016,"Man Hole",0,0,0,0
232,119.4970016,"Man Hole",0,0,0,0
575,256.4549866,"Catch Basin",0,0,0,0
568,256.4549866,"Man Hole",0,0,0,0
567,256.4549866,"Catch Basin",0,0,0,0
550,224.9929962,"Man Hole",0,0,0,0
544,641.210022,"Man Hole",0,0,0,0
532,641.210022,"Catch Basin",0,0,0,0
71,-0.0931948,"Man Hole",0,0,0,0
111,-0.0931948,"Man Hole",0,0,0,0
556,836.4689941,NA,0,0,0,0
558,836.4689941,NA,0,0,0,0
213,316.0440063,"Catch Basin",0,0,0,0
201,316.0440063,"Catch Basin",0,0,0,0
671,531.65802,NA,0,0,0,0
672,531.65802,NA,0,0,0,0
259,9.6477804,"Man Hole",0,0,0,0
270,9.6477804,"Man Hole",0,0,0,0
588,515.8129883,NA,0,0,0,0
603,515.8129883,NA,0,0,0,0
107,299.4580078,"Catch Basin",0,0,0,0
119,269.072998,"Catch Basin",0,0,0,0
466,859.6030273,"Man Hole",0,0,0,0
464,763.1849976,"Man Hole",0,0,0,0
563,836.4689941,NA,0,0,0,0
583,836.4689941,NA,0,0,0,0
217,374.6669922,NA,0,0,0,0
221,374.6669922,"Grate/Drain Inlet",0,0,0,0
353,38.5672989,"Man Hole",0,0,0,0
341,38.5672989,"Man Hole",0,0,0,0
298,166.0939941,"Man Hole",0,0,0,0
320,166.0939941,"Man Hole",0,0,0,0
21,192.2610016,"Catch Basin",0,0,0,0
14,192.2610016,"Catch Basin",0,0,0,0
254,78.2424011,"Man Hole",0,0,0,0
249,78.2424011,"Catch Basin",0,0,0,0
337,97.260498,"Man Hole",0,0,0,0
340,97.260498,"Catch Basin",0,0,0,0
29,192.2610016,"Man Hole",0,0,0,0
88,74.9701004,"Man Hole",0,0,0,0
294,3.56319,"Inlet/Outlet",0,0,0,0
345,3.56319,NA,0,0,0,0
324,9.8200598,"Man Hole",0,0,0,0
333,9.8200598,"Man Hole",0,0,0,0
647,612.4630127,NA,0,0,0,0
664,612.4630127,NA,0,0,0,0
448,540.5,"Man Hole",0,0,0,0
446,540.5,"Man Hole",0,0,0,0
635,836.4689941,NA,0,0,0,0
641,836.4689941,NA,0,0,0,0
641,836.4689941,NA,0,0,0,0
637,836.4689941,NA,0,0,0,0
443,256.7550049,NA,0,0,0,0
434,134.5619965,NA,0,0,0,0
304,226.7949982,"Catch Basin",0,0,0,0
308,226.7949982,"Man Hole",0,0,0,0
124,150.9309998,"Man Hole",0,0,0,0
135,150.9309998,"Man Hole",0,0,0,0
361,226.7949982,"Man Hole",0,0,0,0
356,166.0939941,"Man Hole",0,0,0,0
389,125.3359985,"Man Hole",0,0,0,0
393,125.3359985,"Catch Basin",0,0,0,0
102,74.9701004,NA,0,0,0,0
60,74.9701004,"Man Hole",0,0,0,0
366,166.0939941,"Man Hole",0,0,0,0
374,166.0939941,"Inlet/Outlet",0,0,0,0
149,105.5469971,"Catch Basin",0,0,0,0
158,105.5469971,"Man Hole",0,0,0,0
394,125.3359985,"Man Hole",0,0,0,0
400,125.3359985,"Catch Basin",0,0,0,0
610,124.0500031,"Catch Basin",0,0,0,0
545,99.0767975,"Catch Basin",0,0,0,0
642,386.3580017,NA,0,0,0,0
650,187.8580017,NA,0,0,0,0
492,507.1589966,"Catch Basin",0,0,0,0
485,507.1589966,"Catch Basin",0,0,0,0
94,299.4580078,"Catch Basin",0,0,0,0
107,299.4580078,"Catch Basin",0,0,0,0
237,253.3560028,"Man Hole",0,0,0,0
226,253.3560028,"Man Hole",0,0,0,0
602,754.7379761,NA,0,0,0,0
598,754.7379761,NA,0,0,0,0
81,335.303009,"Man Hole",0,0,0,0
82,299.4580078,"Catch Basin",0,0,0,0
672,531.65802,NA,0,0,0,0
666,411.3519897,NA,0,0,0,0
240,9.6477804,"Catch Basin",0,0,0,0
250,9.6477804,"Catch Basin",0,0,0,0
616,386.3580017,NA,0,0,0,0
589,386.3580017,"Man Hole",0,0,0,0
507,763.1849976,"Man Hole",0,0,0,0
516,763.1849976,"Man Hole",0,0,0,0
371,226.7949982,"Man Hole",0,0,0,0
368,226.7949982,"Man Hole",0,0,0,0
611,836.4689941,NA,0,0,0,0
635,836.4689941,NA,0,0,0,0
637,836.4689941,NA,0,0,0,0
651,643.3590088,NA,0,0,0,0
335,268.9100037,"Catch Basin",0,0,0,0
328,268.9100037,"Man Hole",0,0,0,0
341,38.5672989,"Man Hole",0,0,0,0
359,38.5672989,"Man Hole",0,0,0,0
461,763.1849976,"Man Hole",0,0,0,0
460,763.1849976,"Man Hole",0,0,0,0
446,540.5,"Man Hole",0,0,0,0
450,540.5,"Man Hole",0,0,0,0
257,78.2424011,"Man Hole",0,0,0,0
268,78.2424011,"Man Hole",0,0,0,0
343,268.9100037,"Man Hole",0,0,0,0
350,268.9100037,"Catch Basin",0,0,0,0
138,74.9701004,"Grate/Drain Inlet",0,0,0,0
127,74.9701004,"Catch Basin",0,0,0,0
49,150.9309998,"Man Hole",0,0,0,0
63,150.9309998,"Man Hole",0,0,0,0
419,256.7550049,"Man Hole",0,0,0,0
417,256.7550049,"Man Hole",0,0,0,0
667,612.4630127,NA,0,0,0,0
669,612.4630127,NA,0,0,0,0
41,-0.0931948,"Man Hole",0,0,0,0
46,-0.0931948,"Catch Basin",0,0,0,0
164,363.8789978,"Catch Basin",0,0,0,0
120,363.8789978,NA,0,0,0,0
574,386.3580017,"Catch Basin",0,0,0,0
543,365.8829956,"Man Hole",0,0,0,0
534,859.6030273,"Man Hole",0,0,0,0
520,859.6030273,"Man Hole",0,0,0,0
626,386.3580017,NA,0,0,0,0
616,386.3580017,NA,0,0,0,0
474,99.0767975,NA,0,0,0,0
462,99.0767975,"Inlet/Outlet",0,0,0,0
79,49.2882004,"Man Hole",0,0,0,0
83,49.2882004,"Catch Basin",0,0,0,0
233,9.6477804,"Man Hole",0,0,0,0
259,9.6477804,"Man Hole",0,0,0,0
512,763.1849976,"Catch Basin",0,0,0,0
523,763.1849976,"Catch Basin",0,0,0,0
505,923.8389893,"Grate/Drain Inlet",0,0,0,0
508,923.8389893,"Catch Basin",0,0,0,0
468,859.6030273,"Catch Basin",0,0,0,0
457,724.7059937,"Grate/Drain Inlet",0,0,0,0
471,859.6030273,"Man Hole",0,0,0,0
479,859.6030273,"Grate/Drain Inlet",0,0,0,0
473,859.6030273,"Catch Basin",0,0,0,0
487,859.6030273,"Grate/Drain Inlet",0,0,0,0
542,923.8389893,NA,0,0,0,0
505,923.8389893,"Grate/Drain Inlet",0,0,0,0
368,226.7949982,"Man Hole",0,0,0,0
