"Name","X_Coord","Y_Coord"
27267,-157.757301107,21.288982999
58475,-157.757225477,21.2889796200001
22610,-157.757160968,21.288911264
7716,-157.755417213,21.288755225
38312,-157.75381904,21.290693117
2566,-157.754335086,21.2910274060001
2569,-157.757108139,21.290671848
14256,-157.756971758,21.2907708180001
41954,-157.756712266,21.290713275
50232,-157.75648655,21.2906585110001
52128,-157.752860652,21.2914041600001
9612,-157.752923595,21.2913100530001
46514,-157.754727782,21.2913511040001
49272,-157.754659759,21.2911891210001
29074,-157.755740363,21.290279932
2570,-157.755896598,21.290386943
51129,-157.755858499,21.2901126530001
33680,-157.757081698,21.290228488
26352,-157.757156056,21.2901129110001
13294,-157.757209284,21.2901190320001
21638,-157.751445321,21.2832638140001
22555,-157.751661665,21.283208519
2201,-157.75173813,21.283367976
14200,-157.756998316,21.2828862380001
7660,-157.756935442,21.2829414830001
26301,-157.757043416,21.282921532
44655,-157.75745994,21.282812775
2202,-157.757477014,21.282923861
55704,-157.757815428,21.282758126
43754,-157.757536278,21.2828300910001
45640,-157.764989349,21.288131037
24474,-157.763758602,21.2854000310001
22620,-157.763465254,21.285167169
20807,-157.764825433,21.285472166
31903,-157.764471984,21.285167603
2284,-157.753461578,21.2784899690001
23482,-157.753616833,21.2793972100001
13306,-157.760887051,21.2863366770001
23546,-157.760697321,21.2865077920001
55718,-157.759623781,21.276799367
2287,-157.759706517,21.2773950550001
46619,-157.762366873,21.2927483730001
36606,-157.762583818,21.292524105
23611,-157.746201965,21.2844350600001
3112,-157.746493368,21.28426067
43875,-157.746394513,21.2842234350001
55820,-157.746895485,21.2839499350001
47528,-157.74676534,21.283879631
27328,-157.746232136,21.283454206
53122,-157.746142777,21.283535827
24527,-157.745974576,21.2834465
14326,-157.745491923,21.283170424
3105,-157.745032809,21.2829140690001
16194,-157.746279814,21.2823199430001
34711,-157.746312473,21.281926522
34710,-157.745377026,21.28180911
32855,-157.745325171,21.281711934
55838,-157.746526332,21.280780162
58547,-157.746490144,21.2809000230001
48465,-157.745640183,21.280727848
26436,-157.745003401,21.280594229
28215,-157.746862984,21.2888935390001
35643,-157.74714367,21.288556424
13349,-157.74739448,21.2881395650001
19013,-157.747315554,21.2874924930001
46591,-157.747371285,21.2870753390001
31958,-157.746605175,21.285766623
51090,-157.756408149,21.2754123510001
18902,-157.756466908,21.275401233
2290,-157.757489764,21.2751567880001
2289,-157.757435398,21.275175572
2291,-157.758596137,21.274801225
16082,-157.756246384,21.2744374440001
2292,-157.756176609,21.2744503540001
57518,-157.761045572,21.280044219
16091,-157.760938057,21.280008536
11561,-157.746169509,21.2882840360001
41136,-157.746384015,21.2881268780001
55819,-157.746611282,21.287875249
25491,-157.74643571,21.2873749720001
18100,-157.760914564,21.288173627
16198,-157.760892815,21.287809291
44795,-157.761586366,21.2938139980001
42998,-157.76165102,21.2937277140001
26446,-157.762131375,21.2930460320001
17145,-157.762159115,21.292989929
35543,-157.754022012,21.279703376
17008,-157.747428675,21.2792423980001
46478,-157.747594819,21.279985348
