"Name","X_Coord","Y_Coord"
187,-157.74928825,21.310791511
188,-157.749141775,21.310876242
189,-157.749100587,21.310912074
190,-157.749042063,21.310992937
191,-157.74894776,21.311168385
192,-157.748765075,21.311383831
193,-157.748547848,21.311720974
194,-157.748524224,21.311793071
195,-157.748342577,21.312044649
196,-157.748271682,21.312166076
197,-157.748231349,21.312238051
198,-157.748172365,21.312373109
199,-157.748112714,21.312575923
200,-157.748089289,21.312638987
201,-157.748042414,21.312778655
202,-157.74801986,21.31286882
203,-157.747948957,21.312994763
204,-157.747942446,21.313044401
205,-157.747843294,21.313368871
206,-157.747807497,21.313472489
207,-157.747766467,21.313630275
208,-157.747743263,21.313670747
209,-157.747679075,21.313841907
210,-157.747678623,21.313891597
211,-157.747578558,21.314319942
212,-157.74750303,21.314572315
213,-157.747467667,21.31474369
214,-157.747426651,21.314892442
215,-157.747402757,21.31501422
216,-157.747426922,21.315163447
217,-157.74745612,21.315267562
218,-157.747550277,21.315394733
219,-157.747620412,21.315503652
220,-157.747637923,21.315571543
221,-157.747625733,21.3157205
222,-157.747596635,21.315878379
223,-157.747526168,21.315963664
224,-157.747438402,21.316071418
225,-157.747385918,21.316161355
226,-157.747350747,21.316328213
227,-157.747350222,21.316526955
228,-157.747121679,21.317460231
229,-157.747050289,21.317653918
230,-157.747027059,21.317816354
231,-157.747010148,21.318254353
232,-157.74695676,21.318443659
233,-157.746915678,21.318736946
234,-157.746868594,21.318890163
235,-157.746833033,21.318962167
236,-157.746792706,21.319029626
237,-157.746745026,21.319101536
238,-157.746592387,21.319348813
239,-157.746093043,21.31983291
240,-157.746011111,21.319963277
241,-157.745952106,21.320107378
242,-157.745952263,21.320229331
243,-157.745940777,21.320287962
244,-157.745893289,21.320355367
245,-157.745852508,21.320472494
246,-157.745875758,21.320725608
247,-157.74589935,21.320779991
248,-157.74598722,21.320934219
249,-157.746069483,21.321038715
250,-157.746122743,21.321138478
251,-157.746216656,21.321301791
252,-157.746211199,21.321378529
253,-157.746240525,21.322047233
254,-157.746258065,21.322097058
255,-157.746293562,21.322169589
256,-157.746334046,21.322224094
257,-157.746381868,21.322283169
258,-157.746428642,21.322310618
