OBJECTID_12,OBJECTID,PolygonID,StreamLink,StreamLen,DSNodeID,DSWSID,US1WSID,US2WSID,Area_M,Area_Acre,Area_SqMi,AveSlope,Shape_Leng,Percent_Ar,OBJECTID_1,POLYGONI_1,VALUE_1,ORIG_FID,POINT_X,POINT_Y
48,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7506195,21.32732075
49,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7505713,21.32732039
50,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7505231,21.32732003
51,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7504749,21.32731967
52,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7504271,21.32727415
53,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7503793,21.32722862
54,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7503311,21.32722827
55,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7502829,21.32722791
56,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7502346,21.32722755
57,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7501864,21.32722719
58,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7501382,21.32722683
59,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.75009,21.32722647
60,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7500422,21.32718095
61,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7499944,21.32713543
62,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7499462,21.32713507
63,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.749898,21.32713471
64,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7498498,21.32713435
65,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7498016,21.32713399
66,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7497534,21.32713363
67,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7497052,21.32713327
68,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.749657,21.32713292
69,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7496088,21.32713256
70,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7495606,21.3271322
71,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7495124,21.32713184
72,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7494645,21.32708632
73,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7494167,21.32704079
74,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7493685,21.32704043
75,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7493203,21.32704007
76,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492721,21.32703972
77,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7492239,21.32703936
78,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7491757,21.327039
79,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7491275,21.32703864
80,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7490797,21.32699312
81,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7490318,21.32694759
82,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.748984,21.32690207
83,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7489362,21.32685654
84,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488884,21.32681102
85,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7488406,21.32676549
86,1,0,1,1582,-1,8,-1,-1,988187.5004,244.1860723,0.381540738,97.90113577,4891.944802,7,1,0,64584,0,-157.7487924,21.32676513
