"node1","x_coord","y_coord"
57,-157.745650466995,21.2804937549828
58,-157.745788196368,21.2804879120876
59,-157.745510944375,21.2804387362587
60,-157.745413775325,21.2803687555137
61,-157.745338830323,21.2802714281839
62,-157.745113027644,21.280188395578
63,-157.7450488826,21.2799503072609
64,-157.745060799516,21.2798872315106
65,-157.757135916589,21.2836047041938
66,-157.757099282706,21.283555528365
67,-157.757062614648,21.2835267428649
68,-157.757075467759,21.2835243956344
69,-157.749837338123,21.2836276746775
70,-157.75011243624,21.2835634594861
71,-157.750419490867,21.2834939346974
72,-157.750496621222,21.283476005813
73,-157.754315639055,21.2892524367506
74,-157.754252927531,21.2892083205076
75,-157.753335429287,21.2823641011224
76,-157.753406333635,21.2823374290292
77,-157.753602874173,21.2822663592052
78,-157.753629677568,21.2822655174397
79,-157.753697083554,21.2822812214013
80,-157.753629677568,21.2822655174397
81,-157.753168237224,21.287947127458
82,-157.753172335435,21.2879107858541
83,-157.75518994466,21.2878661192261
84,-157.755149983285,21.2878308325269
85,-157.753330425459,21.292843685088
86,-157.753258921262,21.2927874261988
87,-157.755642178644,21.2925570010049
88,-157.755673554191,21.2925403716409
89,-157.752553061375,21.2924441207996
90,-157.752313089877,21.292350790057
91,-157.752417641461,21.2921856862205
92,-157.752464721869,21.2921367208331
93,-157.756332282409,21.2918065806093
94,-157.755959542199,21.2916244544051
95,-157.754166483796,21.2893051460157
96,-157.754252927531,21.2892083205076
97,-157.754436632045,21.2897972334556
98,-157.754366684575,21.2896881124165
99,-157.757336981616,21.2899418291522
100,-157.75782613187,21.2894395577894
101,-157.752173417969,21.2893723982177
102,-157.752256113329,21.2893229265119
103,-157.752278061283,21.2893702947034
104,-157.752256113329,21.2893229265119
105,-157.75571238332,21.2867731308754
106,-157.755794731542,21.2867095901755
107,-157.754797184642,21.2946642519537
108,-157.755192802706,21.2946162515389
109,-157.757039779063,21.2937838876164
110,-157.756882422885,21.2937385294097
111,-157.756882422885,21.2937385294097
112,-157.756687912117,21.2936837894754
113,-157.753357171296,21.2781341560665
114,-157.75334008148,21.2781131461049
115,-157.753277846595,21.2780122115943
116,-157.75326766627,21.2779888319191
117,-157.756659823592,21.2902302390344
118,-157.756781409235,21.2901973391359
119,-157.755213312644,21.2903823503652
120,-157.755903155606,21.290195842664
121,-157.753917786177,21.2847644006566
122,-157.754180096834,21.2846529692592
123,-157.757496582501,21.2846455597448
124,-157.757412640681,21.284562873378
125,-157.754180096834,21.2846529692592
126,-157.7544600378,21.2845492009849
127,-157.754086724723,21.2891360060219
128,-157.754281003466,21.2891059245988
129,-157.754252927531,21.2892083205076
130,-157.754281003466,21.2891059245988
131,-157.753857970469,21.2891434542071
132,-157.753354688268,21.2890861907752
133,-157.753354688268,21.2890861907752
134,-157.753110210268,21.2890550967154
135,-157.753110210268,21.2890550967154
136,-157.752939148423,21.2890339824324
137,-157.75339426923,21.2875888555413
138,-157.753529501186,21.2875185123695
139,-157.753591035498,21.2876066729097
140,-157.753529501186,21.2875185123695
141,-157.752283834931,21.2874587937883
142,-157.752424834239,21.2874523366561
143,-157.752847975154,21.2877865130372
144,-157.752424834239,21.2874523366561
145,-157.756420433057,21.2873354508704
146,-157.756431211431,21.2872562997385
147,-157.753688168574,21.2874845296873
148,-157.753928813664,21.2871701087136
149,-157.756837873169,21.287123915936
150,-157.757333964391,21.2868621241877
151,-157.755541537312,21.2886204291895
152,-157.755484718145,21.2885652881576
153,-157.746454284638,21.2855422827502
154,-157.746393481474,21.2854278485165
155,-157.756828026492,21.2963850732126
156,-157.756931096893,21.2960684929666
157,-157.757330040649,21.2881327457297
158,-157.757277675824,21.288047867715
159,-157.757445929086,21.2879907742549
160,-157.757609719913,21.2879678289522
161,-157.753128507874,21.2879922329552
162,-157.753168237224,21.287947127458
163,-157.753342918841,21.2879979679319
164,-157.753168237224,21.287947127458
165,-157.756603970297,21.2880295305384
166,-157.756495808834,21.2879385497243
167,-157.754398371288,21.2867499535475
