Name          ,FromNode       ,ToNode         ,Length    ,Roughness ,InOffset  ,OutOffset ,InitFlow  ,MaxFlow   
40095,17119,3113,134.036294,1.18,0,0,0,0
23843,44796,18111,86.28567483,1.18,0,0,0,0
54199,56624,2569,174.9425145,1.18,0,0,0,0
52310,10530,58435,42.19288972,1.18,0,0,0,0
47277,3112,19012,130.3990861,1.18,0,0,0,0
54347,16177,53970,52.10443834,1.18,0,0,0,0
10984,4780,4779,111.8147615,0.32,0,0,0,0
10986,4778,55993,243.2339819,0.66,0,0,0,0
47280,36589,31958,55.90346834,1.18,0,0,0,0
18156,20513,21389,32.72552401,1.18,0,0,0,0
47013,32865,27351,137.7088141,1.18,0,0,0,0
38520,25527,3488,74.35109664,1.18,0,0,0,0
27594,25499,10643,58.6491007,1.18,0,0,0,0
56153,58542,28216,90.69490403,1.18,0,0,0,0
20549,24582,36634,56.0985518,1.18,0,0,0,0
30018,43260,20265,65.71328145,1.18,0,0,0,0
44861,56701,17133,40.58550568,1.18,0,0,0,0
41809,2856,24542,96.1335312,1.18,0,0,0,0
6285,11561,41136,93.49106668,1.18,0,0,0,0
5831,46619,36606,110.773504,1.18,0,0,0,0
57157,11147,25351,50.99360205,1.18,0,0,0,0
8523,53132,14341,51.99584577,1.18,0,0,0,0
22262,19012,47528,44.19727418,1.18,0,0,0,0
5832,23611,3112,118.3078507,1.18,0,0,0,0
16586,17669,51752,77.03003747,1.18,0,0,0,0
24488,10643,27330,262.6329932,1.18,0,0,0,0
29547,19954,27329,195.4713166,1.18,0,0,0,0
35480,53393,37743,79.13081604,1.18,0,0,0,0
4178,12374,27266,44.16029904,1.18,0,0,0,0
32361,14863,52746,33.02299533,1.18,0,0,0,0
36436,49270,37453,78.2959136,1.18,0,0,0,0
7166,38411,19981,45.62856482,1.18,0,0,0,0
31480,52990,58431,390.787656,1.18,0,0,0,0
43744,50249,41974,71.11671246,1.18,0,0,0,0
5205,52128,9612,41.56094851,1.18,0,0,0,0
19052,47426,38272,460.5470657,1.18,0,0,0,0
3164,44719,14269,34.70931073,1.18,0,0,0,0
3327,20765,45589,54.80658878,1.18,0,0,0,0
5865,48465,26436,222.3255418,1.18,0,0,0,0
24206,44799,41154,38.81942483,1.18,0,0,0,0
19021,3489,50356,47.31675583,1.18,0,0,0,0
43480,37453,46513,78.83287486,1.18,0,0,0,0
6328,44795,42998,39.41227339,1.18,0,0,0,0
25695,34727,44796,106.1283999,1.18,0,0,0,0
54201,8634,23545,275.8992988,1.18,0,0,0,0
18151,30602,12990,23.49490782,1.18,0,0,0,0
18750,42046,53969,33.62656299,1.18,0,0,0,0
28249,5391,43260,61.32702943,1.18,0,0,0,0
39903,18111,26447,85.81851619,1.18,0,0,0,0
56077,17022,57518,155.1517354,1.18,0,0,0,0
52313,52129,38314,179.6495038,1.18,0,0,0,0
42104,14490,39460,54.18940566,0.32,0,0,0,0
34874,37510,7806,96.10549846,0.64,0,0,0,0
41649,7713,46513,83.60202835,1.18,0,0,0,0
52424,27266,19867,40.547304,1.18,0,0,0,0
10797,48614,57775,35.41331141,0.56,0,0,0,0
31723,58764,8026,95.21829006,0.58,0,0,0,0
3207,49223,45579,230.1270339,1.18,0,0,0,0
5602,20807,31903,164.0251419,1.18,0,0,0,0
56699,37743,5391,62.14790772,1.18,0,0,0,0
6610,15269,19965,69.54604372,1.18,0,0,0,0
46052,4397,4399,46.19343622,4.6,0,0,0,0
32992,3113,53969,86.14938593,1.18,0,0,0,0
49049,2655,2654,27.09698592,1.18,0,0,0,0
53178,39461,12598,50.78462985,1.16,0,0,0,0
27591,46591,36588,84.25635009,1.18,0,0,0,0
52634,16236,9714,111.0815709,1.18,0,0,0,0
5863,34710,32855,40.36462167,1.18,0,0,0,0
34995,47569,50356,41.89927505,1.18,0,0,0,0
38036,3120,36504,183.2510363,1.18,0,0,0,0
19180,39462,35829,20.74526296,0.77,0,0,0,0
31075,8661,39197,138.1307361,1.18,0,0,0,0
36288,40132,49272,92.68094679,1.18,0,0,0,0
7300,20910,32005,112.7743681,1.18,0,0,0,0
49220,27351,3224,80.84600012,1.18,0,0,0,0
28968,41953,25419,32.71926316,1.18,0,0,0,0
36437,46513,25418,47.62272471,1.18,0,0,0,0
3547,41976,28162,91.36626707,1.18,0,0,0,0
4179,2571,35579,244.5414647,1.18,0,0,0,0
7849,24542,16195,165.8373206,1.18,0,0,0,0
10836,4395,55040,64.67805532,1.5,0,0,0,0
24074,18099,16194,101.4308567,1.18,0,0,0,0
25561,41073,34635,126.3951805,1.18,0,0,0,0
41962,57616,18089,180.2076993,1.18,0,0,0,0
50936,18107,49364,59.27823163,1.18,0,0,0,0
34492,15182,55758,39.43969803,1.18,0,0,0,0
4964,27267,58475,26.62886346,1.18,0,0,0,0
3088,56640,32786,208.6292235,1.18,0,0,0,0
56583,44024,35829,114.2929547,2.76,0,0,0,0
38267,46534,2658,30.67086815,1.18,0,0,0,0
56045,43754,44655,27.54541458,1.18,0,0,0,0
27664,51204,54869,44.01441282,1.18,0,0,0,0
29107,12598,44024,34.15901799,1.19,0,0,0,0
31722,47745,58764,114.2003044,0.83,0,0,0,0
52569,33750,27331,37.48327678,1.18,0,0,0,0
39992,2198,57492,113.4131874,1.18,0,0,0,0
3124,46621,57628,126.0972293,1.18,0,0,0,0
34774,46468,21638,332.0819733,1.18,0,0,0,0
43735,53917,50374,211.726438,1.18,0,0,0,0
38243,24464,29079,24.48362032,1.18,0,0,0,0
43819,7795,51204,34.05008606,1.18,0,0,0,0
38083,53050,29076,77.64239339,1.18,0,0,0,0
4951,32778,29079,36.25116044,1.18,0,0,0,0
23383,55386,31847,130.1613392,1.18,0,0,0,0
10987,28430,55993,29.47500072,1.54,0,0,0,0
3178,2647,27272,32.78031044,1.18,0,0,0,0
34818,29154,43889,213.0912917,1.18,0,0,0,0
5834,55820,47528,51.50848382,1.18,0,0,0,0
3087,24472,41073,137.7453971,1.18,0,0,0,0
5075,2569,14256,59.09241303,1.18,0,0,0,0
41904,41956,57545,37.91390419,1.18,0,0,0,0
41660,2650,2651,59.49109604,1.18,0,0,0,0
8466,43756,49223,267.9011838,1.18,0,0,0,0
31090,12349,24438,78.50304162,1.18,0,0,0,0
18150,21388,52745,160.2379496,1.18,0,0,0,0
24071,42043,24527,42.32985435,1.18,0,0,0,0
37722,14255,15180,58.22562238,1.18,0,0,0,0
7163,3488,30092,140.459101,1.18,0,0,0,0
4838,10630,27329,46.91598615,1.18,0,0,0,0
29681,31848,15136,155.4650333,1.18,0,0,0,0
16585,51752,24122,70.60575999,1.18,0,0,0,0
6597,43873,19954,44.1178095,1.18,0,0,0,0
55813,2646,15190,23.65835577,1.18,0,0,0,0
36723,57628,18108,24.40267246,1.18,0,0,0,0
45184,41958,55757,148.5821946,1.18,0,0,0,0
45325,13309,41976,40.1748289,1.18,0,0,0,0
21996,27219,20748,274.3614068,1.18,0,0,0,0
41903,34622,33680,35.819341,1.18,0,0,0,0
31296,19965,8762,52.92460795,1.18,0,0,0,0
50591,36505,2563,32.24691852,1.18,0,0,0,0
25809,40146,46534,127.6141756,1.18,0,0,0,0
20350,25422,53052,50.74716904,1.18,0,0,0,0
4965,22610,58475,33.56695602,1.18,0,0,0,0
4521,22612,11505,52.90631446,1.18,0,0,0,0
47143,20805,53916,28.75450851,1.18,0,0,0,0
8520,46595,3120,148.714933,1.18,0,0,0,0
34896,26420,58542,48.13829786,1.18,0,0,0,0
4327,40145,38329,102.6228466,1.18,0,0,0,0
3324,28162,2295,143.5728911,1.18,0,0,0,0
34994,28257,3489,62.09568814,1.18,0,0,0,0
54046,34636,58482,28.58029049,1.18,0,0,0,0
3086,39236,24473,128.2858738,1.18,0,0,0,0
46029,43118,43117,42.3641127,0.44,0,0,0,0
35955,14341,38395,204.2985432,1.18,0,0,0,0
53014,49564,55993,173.1958055,0.71,0,0,0,0
49175,9714,20910,126.9587025,1.18,0,0,0,0
3104,2205,55705,118.7621981,1.18,0,0,0,0
8465,31849,56574,62.59685908,1.18,0,0,0,0
18461,27271,2643,51.64173252,1.18,0,0,0,0
20180,2562,48394,46.65537319,1.18,0,0,0,0
3822,48394,41060,135.8139368,1.18,0,0,0,0
8462,21641,25354,263.1290848,1.18,0,0,0,0
3513,50231,50230,24.28407418,1.18,0,0,0,0
6608,57622,50322,138.3650313,1.18,0,0,0,0
49288,30882,55706,103.3574018,1.18,0,0,0,0
6329,26446,17145,22.83727082,1.18,0,0,0,0
54033,36504,49270,42.12353753,1.18,0,0,0,0
29683,38272,37398,124.0709396,1.18,0,0,0,0
46086,54172,38588,28.47507567,0.6,0,0,0,0
27833,55706,9572,150.7075669,1.18,0,0,0,0
56005,10569,2568,29.53041389,1.18,0,0,0,0
52425,29974,33680,49.35067714,1.18,0,0,0,0
5601,24474,22620,131.1828242,1.18,0,0,0,0
40707,35938,53393,79.21389947,1.18,0,0,0,0
38411,19819,20749,127.8419014,1.18,0,0,0,0
18154,52746,35247,9.237818267,1.18,0,0,0,0
3176,15190,45639,16.75234325,1.18,0,0,0,0
5208,2570,35579,69.8958373,1.18,0,0,0,0
10988,9888,47744,34.70809974,0.75,0,0,0,0
4479,38314,50235,38.71148846,1.18,0,0,0,0
31046,35579,29075,53.74036842,1.18,0,0,0,0
33053,28216,3121,53.22045102,1.18,0,0,0,0
54030,10580,15191,46.55754947,1.18,0,0,0,0
8464,19820,31849,70.57034169,1.18,0,0,0,0
49055,27329,45703,162.1957614,1.18,0,0,0,0
4325,38329,42095,98.14736376,1.18,0,0,0,0
27769,48473,39313,82.81631298,1.18,0,0,0,0
57156,59090,55837,20.27789483,1.18,0,0,0,0
40156,22675,27330,46.74047822,1.18,0,0,0,0
7162,30093,30092,231.46738,1.18,0,0,0,0
34898,8762,30055,37.84138496,1.18,0,0,0,0
20658,14209,57504,121.1196841,1.18,0,0,0,0
37427,24151,21388,78.06155749,1.18,0,0,0,0
38082,55756,2568,21.78162078,1.18,0,0,0,0
5463,2202,44655,41.06063325,1.18,0,0,0,0
27447,30946,56638,161.7244322,1.18,0,0,0,0
50563,34638,20807,30.13502416,1.18,0,0,0,0
5211,13294,26352,18.41682121,1.18,0,0,0,0
4790,18109,58563,14.25526619,1.18,0,0,0,0
29872,15452,11721,47.81142964,1.18,0,0,0,0
24012,2566,40132,33.00156087,1.18,0,0,0,0
22183,48396,23530,77.02039686,1.18,0,0,0,0
45147,31846,2198,22.57261799,1.18,0,0,0,0
31330,28129,44678,50.8526937,1.18,0,0,0,0
22001,35528,46468,33.47314984,1.18,0,0,0,0
38187,2636,33691,126.9841979,1.18,0,0,0,0
39970,2568,40133,73.78111003,1.18,0,0,0,0
27082,29075,41958,156.4782884,1.18,0,0,0,0
39862,2643,2644,61.85374944,1.18,0,0,0,0
5206,46514,49272,63.56881759,1.18,0,0,0,0
41671,8635,19819,92.87212872,1.18,0,0,0,0
47626,36749,29295,187.2058925,0.95,0,0,0,0
20657,20751,2208,131.5473936,1.18,0,0,0,0
38331,2208,21641,108.0307845,1.18,0,0,0,0
3519,40134,56628,18.96052015,1.18,0,0,0,0
3105,25353,48342,133.3199453,1.18,0,0,0,0
29145,25420,53049,68.50278484,1.18,0,0,0,0
50700,12383,25430,33.78038865,1.18,0,0,0,0
33187,51228,39313,25.51213719,1.18,0,0,0,0
3205,45579,20751,71.09524652,1.18,0,0,0,0
4953,8684,29977,21.40246484,1.18,0,0,0,0
35270,4779,26629,40.14614402,0.71,0,0,0,0
29312,58448,41930,77.28585828,1.18,0,0,0,0
47022,51081,2199,45.37880154,1.18,0,0,0,0
33268,2277,31856,141.6205954,1.18,0,0,0,0
32771,49272,30936,32.14164567,1.18,0,0,0,0
54503,16064,30882,23.33068578,1.18,0,0,0,0
50699,39225,50234,20.00086452,1.18,0,0,0,0
25842,2276,45587,65.99237224,1.18,0,0,0,0
31481,58431,35542,171.6548203,1.18,0,0,0,0
3015,41030,52082,152.2036754,1.18,0,0,0,0
42157,9572,2273,227.642894,1.18,0,0,0,0
40039,41061,25422,45.10825715,1.18,0,0,0,0
29053,34635,13305,140.1697621,1.18,0,0,0,0
47391,45587,16081,147.3438268,1.18,0,0,0,0
43487,51082,25353,31.3563323,1.18,0,0,0,0
4525,38326,56638,29.17690172,1.18,0,0,0,0
8463,42844,30882,15.76295627,1.18,0,0,0,0
5461,7660,14200,29.44530903,1.18,0,0,0,0
20456,17145,58562,66.55240576,1.18,0,0,0,0
3084,23544,24472,26.06569548,1.18,0,0,0,0
36553,52142,40145,41.6760929,1.18,0,0,0,0
3203,52989,30880,88.10453684,1.18,0,0,0,0
3375,2206,54757,106.4206819,1.18,0,0,0,0
55993,2635,12383,22.34530509,1.18,0,0,0,0
47318,52082,2290,320.4385339,1.18,0,0,0,0
42524,13245,36949,338.9488,1.18,0,0,0,0
29443,55821,51204,23.76243227,1.18,0,0,0,0
41458,56638,46532,46.11294307,1.18,0,0,0,0
10983,51447,47745,45.10974879,0.6,0,0,0,0
29682,2210,43756,21.99083637,1.18,0,0,0,0
43586,50374,29924,69.23200955,1.18,0,0,0,0
3485,36507,29977,13.40067193,1.18,0,0,0,0
20197,25354,2207,139.102337,1.18,0,0,0,0
16595,21640,55386,52.12051278,1.18,0,0,0,0
50701,29984,46533,47.58690344,1.18,0,0,0,0
31354,38430,52424,71.62963142,1.18,0,0,0,0
35035,18006,47426,52.71212234,1.18,0,0,0,0
55810,14269,40146,51.39005523,1.18,0,0,0,0
52283,36514,24472,105.6766555,1.18,0,0,0,0
24232,37398,31856,84.93917435,1.18,0,0,0,0
22511,56574,55706,36.99678532,1.18,0,0,0,0
38575,52221,14352,23.20675671,1.18,0,0,0,0
40045,14200,52075,78.04658581,1.18,0,0,0,0
6457,46478,17008,277.171624,1.18,0,0,0,0
38440,38311,2567,18.12236139,1.18,0,0,0,0
20209,29034,8635,145.5375631,1.18,0,0,0,0
41672,9559,49223,19.12212762,1.18,0,0,0,0
3253,2199,41914,37.86723883,1.18,0,0,0,0
3250,29975,38313,58.81679706,1.18,0,0,0,0
40061,13305,2642,94.31056935,1.18,0,0,0,0
38032,58420,2201,196.126573,1.18,0,0,0,0
47138,2574,50234,28.50932106,1.18,0,0,0,0
50668,29978,52130,72.04211675,1.18,0,0,0,0
52539,17009,58434,124.3978044,1.18,0,0,0,0
38079,18948,14258,21.84012218,1.18,0,0,0,0
36487,2565,33679,32.19196731,1.18,0,0,0,0
18454,2639,39236,41.39917421,1.18,0,0,0,0
42124,15494,9888,29.16506459,0.56,0,0,0,0
48789,2640,34635,41.26983118,1.18,0,0,0,0
5617,2284,50186,134.7226986,1.18,0,0,0,0
28117,38588,22878,27.67175014,8,0,0,0,0
47023,40144,57557,89.34002806,1.18,0,0,0,0
5209,51129,35579,33.97746013,1.18,0,0,0,0
25721,17062,2636,37.04336041,1.18,0,0,0,0
27832,43757,14209,50.46650905,1.18,0,0,0,0
27081,7714,12375,16.70147318,1.18,0,0,0,0
47012,2203,2204,42.22893104,1.18,0,0,0,0
3486,16125,14258,18.74513248,1.18,0,0,0,0
8470,35542,46477,124.8339708,1.18,0,0,0,0
47011,16128,32785,15.92822145,1.18,0,0,0,0
30876,41914,13246,57.49843858,1.18,0,0,0,0
3516,26353,52129,46.42415921,1.18,0,0,0,0
22379,41152,20880,33.46030075,1.18,0,0,0,0
51046,17007,36457,36.22073191,1.18,0,0,0,0
5462,26301,14200,20.0502265,1.18,0,0,0,0
52563,17008,57505,62.621751,1.18,0,0,0,0
3209,44656,43755,147.0038808,1.18,0,0,0,0
50803,19014,57492,17.30808021,1.18,0,0,0,0
50754,18947,34623,51.07031079,1.18,0,0,0,0
45453,58434,51090,349.940423,1.18,0,0,0,0
59578,61449,61448,76.42191395,1.18,0,0,0,0
44002,35541,36457,36.07454707,1.18,0,0,0,0
34471,31902,2645,40.23686714,1.18,0,0,0,0
55352,2303,15752,8.468009463,1.18,0,0,0,0
3200,55703,9558,16.70747711,1.18,0,0,0,0
34799,2285,38274,21.52644843,1.18,0,0,0,0
18462,20748,52989,43.49443282,1.18,0,0,0,0
3540,30947,48404,36.38663135,1.18,0,0,0,0
52744,45588,2279,30.07511582,1.18,0,0,0,0
40246,2280,35543,18.19588,1.18,0,0,0,0
8468,36457,2279,292.5288495,1.18,0,0,0,0
5460,2201,22555,63.78731168,1.18,0,0,0,0
29337,56639,2642,64.40764925,1.18,0,0,0,0
36274,58419,23469,53.64697674,1.18,0,0,0,0
18483,47515,46606,224.9642805,1.18,0,0,0,0
33267,18901,45587,53.92976797,1.18,0,0,0,0
46907,56626,41958,37.86413868,1.18,0,0,0,0
48295,59089,20484,20.51216588,1.18,0,0,0,0
27369,57557,50247,68.04897724,1.18,0,0,0,0
209507,190506,7715,13.0834483,1.18,0,0,0,0
3206,18890,45579,25.85425282,1.18,0,0,0,0
209505,190507,47469,23.83560856,1.18,0,0,0,0
25576,27220,29034,15.48369191,1.18,0,0,0,0
3201,2196,30879,127.8279794,1.18,0,0,0,0
54364,46477,30890,107.6057534,1.18,0,0,0,0
16598,12084,20750,19.10865686,1.18,0,0,0,0
6569,30890,55717,197.4671805,1.18,0,0,0,0
45679,7670,37398,29.48851902,1.18,0,0,0,0
3003,18959,10580,80.35439562,1.18,0,0,0,0
18463,52076,45579,15.07128855,1.18,0,0,0,0
31479,10528,28120,16.77452513,1.18,0,0,0,0
16603,17671,56639,22.04955443,1.18,0,0,0,0
20659,57504,2277,19.95937287,1.18,0,0,0,0
52745,2278,46477,204.5905912,1.18,0,0,0,0
43725,8649,57506,28.47038099,1.18,0,0,0,0
47390,2275,28120,10.98772309,1.18,0,0,0,0
3325,2295,20765,171.5656526,1.18,0,0,0,0
30885,23657,29034,19.83811222,1.18,0,0,0,0
3376,20750,2206,23.64561148,1.18,0,0,0,0
48686,20763,7671,52.37965846,1.18,0,0,0,0
