"Nodes","Elevation","MaxDepth","InitDepth","SurDepth","Aponded"
141,1672.9799805,0,0,0,0
142,1697.3199463,0,0,0,0
143,1753.0300293,0,0,0,0
144,1769.8199463,0,0,0,0
145,1822.6600342,0,0,0,0
146,1831.4100342,0,0,0,0
147,1852,0,0,0,0
148,1867.4499512,0,0,0,0
149,1894.0600586,0,0,0,0
150,1901.9899902,0,0,0,0
151,1922,0,0,0,0
152,1937.1800537,0,0,0,0
153,1947.6400146,0,0,0,0
154,1969.7099609,0,0,0,0
155,1994.1999512,0,0,0,0
156,2048.6101074,0,0,0,0
157,2069.25,0,0,0,0
158,2078.1599121,0,0,0,0
159,2131.6000977,0,0,0,0
160,2160.9099121,0,0,0,0
161,520.1779785,0,0,0,0
162,523.8179932,0,0,0,0
163,525.6270142,0,0,0,0
164,528.4379883,0,0,0,0
165,537.940979,0,0,0,0
166,551.4949951,0,0,0,0
167,564.5360107,0,0,0,0
168,572.5159912,0,0,0,0
169,575.9039917,0,0,0,0
170,579.4110107,0,0,0,0
171,592.7390137,0,0,0,0
172,599.007019,0,0,0,0
173,602.6740112,0,0,0,0
174,611.8380127,0,0,0,0
175,628.1279907,0,0,0,0
176,638.2249756,0,0,0,0
177,660.4219971,0,0,0,0
178,659.9609985,0,0,0,0
179,694.8709717,0,0,0,0
180,760.8540039,0,0,0,0
181,776.4689941,0,0,0,0
182,791.3800049,0,0,0,0
183,808.0980225,0,0,0,0
184,830.1489868,0,0,0,0
185,844.1160278,0,0,0,0
186,854.8880005,0,0,0,0
187,881.5300293,0,0,0,0
188,892.9550171,0,0,0,0
189,896.2139893,0,0,0,0
190,898.6469727,0,0,0,0
191,906.3699951,0,0,0,0
192,924.4639893,0,0,0,0
193,942.9509888,0,0,0,0
194,948.1389771,0,0,0,0
195,968.3900146,0,0,0,0
196,973.2509766,0,0,0,0
197,980.0570068,0,0,0,0
198,989.4650269,0,0,0,0
199,1000.9899902,0,0,0,0
200,1007.0800171,0,0,0,0
201,1018.4500122,0,0,0,0
202,1023.4500122,0,0,0,0
203,1031.0799561,0,0,0,0
204,1031.8900146,0,0,0,0
205,1036.5100098,0,0,0,0
206,1037.8900146,0,0,0,0
207,1042.1199951,0,0,0,0
208,1044.4799805,0,0,0,0
209,1051.9200439,0,0,0,0
210,1053.5,0,0,0,0
211,1074.7700195,0,0,0,0
212,1088.0600586,0,0,0,0
213,1101.8800049,0,0,0,0
214,1115.8399658,0,0,0,0
215,1127.0699463,0,0,0,0
216,1134.9699707,0,0,0,0
217,1138.4699707,0,0,0,0
218,1135.0500488,0,0,0,0
219,1137.7399902,0,0,0,0
220,1139.9499512,0,0,0,0
221,1147.8100586,0,0,0,0
222,1157.0699463,0,0,0,0
223,1165.3699951,0,0,0,0
224,1183.3499756,0,0,0,0
225,1193.4899902,0,0,0,0
226,1206.2399902,0,0,0,0
227,1214.7399902,0,0,0,0
228,1270.7800293,0,0,0,0
229,1285.9399414,0,0,0,0
230,1301.1800537,0,0,0,0
231,1331.8499756,0,0,0,0
232,1350.1600342,0,0,0,0
233,1367.4799805,0,0,0,0
234,1378.4000244,0,0,0,0
