"name","elevation","maxdepth","initdepth","surdepth","aponded"
158,182.3024445,0,0,0,0
159,196.468277,0,0,0,0
160,210.9372711,0,0,0,0
161,122.8062134,0,0,0,0
162,119.7297287,0,0,0,0
163,114.218689,0,0,0,0
164,119.7297287,0,0,0,0
165,119.958992,0,0,0,0
166,108.4111938,0,0,0,0
167,47.9611588,0,0,0,0
168,46.0954552,0,0,0,0
169,153.7476959,0,0,0,0
170,95.6507568,0,0,0,0
171,84.3186111,0,0,0,0
172,80.404129,0,0,0,0
173,53.1272354,0,0,0,0
174,47.9570122,0,0,0,0
175,219.753006,0,0,0,0
176,207.4629974,0,0,0,0
177,207.7312317,0,0,0,0
178,200.2841644,0,0,0,0
179,200.2841644,0,0,0,0
180,192.0451355,0,0,0,0
181,94.3972931,0,0,0,0
182,93.7616119,0,0,0,0
183,93.2429886,0,0,0,0
184,138.331192,0,0,0,0
185,163.5501862,0,0,0,0
186,224.9339294,0,0,0,0
187,236.7988281,0,0,0,0
188,196.0427246,0,0,0,0
189,170.9234924,0,0,0,0
190,236.3458862,0,0,0,0
191,230.3547974,0,0,0,0
192,137.7083893,0,0,0,0
193,133.6960449,0,0,0,0
194,135.9307861,0,0,0,0
195,136.6459503,0,0,0,0
196,141.1687927,0,0,0,0
197,136.6459503,0,0,0,0
198,136.6459503,0,0,0,0
199,133.8819733,0,0,0,0
200,221.8617859,0,0,0,0
201,226.2109375,0,0,0,0
202,231.8570251,0,0,0,0
203,226.2109375,0,0,0,0
204,42.0405502,0,0,0,0
205,39.1824303,0,0,0,0
206,36.4567947,0,0,0,0
207,39.3869324,0,0,0,0
208,38.1360283,0,0,0,0
209,36.4567947,0,0,0,0
210,89.2258759,0,0,0,0
211,92.7171783,0,0,0,0
212,95.7037659,0,0,0,0
213,92.7171783,0,0,0,0
214,122.2280502,0,0,0,0
215,120.1064987,0,0,0,0
216,124.8920822,0,0,0,0
217,133.0090942,0,0,0,0
218,140.9031219,0,0,0,0
219,6.5768838,0,0,0,0
220,6.3721256,0,0,0,0
221,5.8970981,0,0,0,0
222,5.6632977,0,0,0,0
223,5.6033392,0,0,0,0
224,5.6033392,0,0,0,0
225,5.4866724,0,0,0,0
226,5.2833815,0,0,0,0
227,5.1808844,0,0,0,0
228,336.1963501,0,0,0,0
229,319.386261,0,0,0,0
230,319.386261,0,0,0,0
231,317.9573059,0,0,0,0
232,290.315094,0,0,0,0
233,286.8981018,0,0,0,0
234,270.8308716,0,0,0,0
235,263.3804321,0,0,0,0
236,270.8308716,0,0,0,0
237,266.990448,0,0,0,0
238,255.1065216,0,0,0,0
239,228.1252899,0,0,0,0
240,181.593338,0,0,0,0
