"Subcatchment","X_Coord","Y_Coord"
1,629329.0398,2357942.6624
1,629329.0398,2357937.6624
1,629329.0398,2357932.6624
1,629324.0398,2357927.6624
1,629319.0398,2357922.6624
1,629319.0398,2357917.6624
1,629319.0398,2357912.6624
1,629314.0398,2357907.6624
1,629309.0398,2357902.6624
1,629309.0398,2357897.6624
1,629309.0398,2357892.6624
1,629309.0398,2357887.6624
1,629309.0398,2357882.6624
1,629304.0398,2357877.6624
1,629299.0398,2357872.6624
1,629294.0398,2357867.6624
1,629289.0398,2357862.6624
1,629284.0398,2357857.6624
1,629279.0398,2357852.6624
1,629279.0398,2357847.6624
1,629279.0398,2357842.6624
1,629279.0398,2357837.6624
1,629279.0398,2357832.6624
1,629274.0398,2357827.6624
1,629269.0398,2357822.6624
1,629269.0398,2357817.6624
1,629269.0398,2357812.6624
1,629269.0398,2357807.6624
1,629269.0398,2357802.6624
1,629269.0398,2357797.6624
1,629269.0398,2357792.6624
1,629269.0398,2357787.6624
1,629269.0398,2357782.6624
1,629264.0398,2357777.6624
1,629259.0398,2357772.6624
1,629259.0398,2357767.6624
1,629259.0398,2357762.6624
1,629259.0398,2357757.6624
1,629259.0398,2357752.6624
1,629259.0398,2357747.6624
1,629259.0398,2357742.6624
1,629259.0398,2357737.6624
1,629259.0398,2357732.6624
1,629259.0398,2357727.6624
1,629259.0398,2357722.6624
1,629259.0398,2357717.6624
1,629259.0398,2357712.6624
1,629259.0398,2357707.6624
1,629259.0398,2357702.6624
1,629259.0398,2357697.6624
1,629259.0398,2357692.6624
1,629259.0398,2357687.6624
1,629259.0398,2357682.6624
1,629259.0398,2357677.6624
1,629259.0398,2357672.6624
1,629259.0398,2357667.6624
1,629259.0398,2357662.6624
1,629259.0398,2357657.6624
1,629259.0398,2357652.6624
1,629259.0398,2357647.6624
1,629259.0398,2357642.6624
1,629259.0398,2357637.6624
1,629259.0398,2357632.6624
1,629259.0398,2357627.6624
1,629259.0398,2357622.6624
1,629254.0398,2357617.6624
1,629249.0398,2357612.6624
1,629249.0398,2357607.6624
1,629249.0398,2357602.6624
1,629249.0398,2357597.6624
1,629249.0398,2357592.6624
1,629249.0398,2357587.6624
1,629249.0398,2357582.6624
1,629249.0398,2357577.6624
1,629249.0398,2357572.6624
1,629249.0398,2357567.6624
1,629249.0398,2357562.6624
1,629249.0398,2357557.6624
1,629249.0398,2357552.6624
1,629249.0398,2357547.6624
1,629249.0398,2357542.6624
1,629244.0398,2357537.6624
1,629239.0398,2357532.6624
1,629239.0398,2357527.6624
1,629239.0398,2357522.6624
1,629239.0398,2357517.6624
1,629239.0398,2357512.6624
1,629239.0398,2357507.6624
1,629239.0398,2357502.6624
1,629239.0398,2357497.6624
1,629239.0398,2357492.6624
1,629239.0398,2357487.6624
1,629239.0398,2357482.6624
1,629239.0398,2357477.6624
1,629239.0398,2357472.6624
1,629239.0398,2357467.6624
1,629239.0398,2357462.6624
1,629239.0398,2357457.6624
1,629239.0398,2357452.6624
1,629239.0398,2357447.6624
1,629239.0398,2357442.6624
1,629239.0398,2357437.6624
1,629239.0398,2357432.6624
1,629239.0398,2357427.6624
1,629239.0398,2357422.6624
1,629239.0398,2357417.6624
1,629239.0398,2357412.6624
1,629234.0398,2357407.6624
1,629229.0398,2357402.6624
1,629229.0398,2357397.6624
1,629229.0398,2357392.6624
1,629229.0398,2357387.6624
1,629229.0398,2357382.6624
1,629229.0398,2357377.6624
1,629229.0398,2357372.6624
1,629229.0398,2357367.6624
1,629229.0398,2357362.6624
1,629229.0398,2357357.6624
1,629229.0398,2357352.6624
1,629224.0398,2357347.6624
1,629219.0398,2357342.6624
1,629219.0398,2357337.6624
1,629219.0398,2357332.6624
1,629219.0398,2357327.6624
1,629219.0398,2357322.6624
1,629214.0398,2357317.6624
1,629209.0398,2357312.6624
1,629209.0398,2357307.6624
1,629209.0398,2357302.6624
1,629209.0398,2357297.6624
1,629209.0398,2357292.6624
1,629209.0398,2357287.6624
1,629209.0398,2357282.6624
1,629209.0398,2357277.6624
1,629209.0398,2357272.6624
1,629209.0398,2357267.6624
1,629209.0398,2357262.6624
1,629209.0398,2357257.6624
1,629209.0398,2357252.6624
1,629209.0398,2357247.6624
1,629209.0398,2357242.6624
1,629209.0398,2357237.6624
1,629209.0398,2357232.6624
1,629204.0398,2357227.6624
1,629199.0398,2357222.6624
1,629199.0398,2357217.6624
1,629199.0398,2357212.6624
1,629194.0398,2357207.6624
1,629189.0398,2357202.6624
1,629184.0398,2357197.6624
1,629179.0398,2357192.6624
1,629179.0398,2357187.6624
1,629179.0398,2357182.6624
1,629174.0398,2357177.6624
1,629169.0398,2357172.6624
1,629169.0398,2357167.6624
1,629164.0398,2357167.6624
1,629159.0398,2357167.6624
1,629154.0398,2357167.6624
1,629149.0398,2357172.6624
1,629144.0398,2357177.6624
1,629139.0398,2357182.6624
1,629134.0398,2357187.6624
1,629129.0398,2357187.6624
1,629124.0398,2357187.6624
1,629119.0398,2357192.6624
1,629114.0398,2357197.6624
1,629109.0398,2357197.6624
1,629104.0398,2357197.6624
1,629099.0398,2357197.6624
1,629094.0398,2357197.6624
1,629089.0398,2357202.6624
1,629084.0398,2357207.6624
1,629079.0398,2357207.6624
1,629074.0398,2357207.6624
