"subc","sum_length_pipe","mean_diam_pipe"
42,3795.17419241418,28.7647058823529
45,417.881373802262,13
46,231.170311628794,18
47,316.618521845369,18
48,743.660458401954,21.2727272727273
51,841.550789130496,21.4285714285714
53,314.519989651283,33
54,762.742504652646,23.8571428571429
55,1276.80064242393,27
56,224.311070983515,21.6
57,920.450270422559,18.8571428571429
58,11.7761110732255,18
59,625.217610154131,18
61,503.860340004918,18
62,1767.79757605519,22.0588235294118
63,4457.22655694061,30.3396226415094
66,742.587876245272,18
67,1151.52256453097,51
68,1525.14021949135,51.3103448275862
69,561.639024856766,21.8181818181818
70,253.360293736625,18
71,487.307519351409,18.5555555555556
73,17.471296819442,60
74,2595.80862228826,20.675
75,1396.7651918293,20.1153846153846
76,1220.27536176071,44.4583333333333
77,275.570630570824,24
78,1481.14274641854,22.8
79,490.488770334935,19.4285714285714
80,252.331681449451,22.5
81,290.089468443342,22.5
82,191.240012764548,18
84,105.057174798892,24
88,569.326415440096,32
89,3338.75748680349,20.7291666666667
91,1617.84731947001,26.0625
95,1119.41555566478,18.6666666666667
96,568.974117022895,18
NA,319.199295755365,31
"subc","sum_length_ditch","mean_width_ditch","mean_height_ditch"
9,839.356050093065,5,5
10,272.484433815524,5,5
20,421.285472129734,5,5
24,71.7549870451838,5,5
27,619.382140146338,5,5
28,543.586828139437,5,5
34,361.225868946709,5,5
39,283.279171797742,5,5
41,70.2760433968433,5,5
42,3284.11964595465,5,5
43,517.645138063042,5,5
53,109.324626370784,5,5
55,496.251885816789,5,5
63,521.079112927205,5,5
64,142.485655103148,5,5
66,436.471105904104,5,5
