"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"381_15","Trapezoidal",1,1,0,0,1,0
"381_16","Trapezoidal",1,1,0,0,1,0
"381_17","Trapezoidal",1,1,0,0,1,0
"381_18","Trapezoidal",1,1,0,0,1,0
"381_19","Trapezoidal",1,1,0,0,1,0
"381_2","Trapezoidal",1,1,0,0,1,0
"381_20","Trapezoidal",1,1,0,0,1,0
"381_21","Trapezoidal",1,1,0,0,1,0
"381_22","Trapezoidal",1,1,0,0,1,0
"381_23","Trapezoidal",1,1,0,0,1,0
"381_24","Trapezoidal",1,1,0,0,1,0
"381_25","Trapezoidal",1,1,0,0,1,0
"381_26","Trapezoidal",1,1,0,0,1,0
"381_27","Trapezoidal",1,1,0,0,1,0
"381_28","Trapezoidal",1,1,0,0,1,0
"381_29","Trapezoidal",1,1,0,0,1,0
"381_3","Trapezoidal",1,1,0,0,1,0
"381_30","Trapezoidal",1,1,0,0,1,0
"381_31","Trapezoidal",1,1,0,0,1,0
"381_32","Trapezoidal",1,1,0,0,1,0
"381_33","Trapezoidal",1,1,0,0,1,0
"381_34","Trapezoidal",1,1,0,0,1,0
"381_35","Trapezoidal",1,1,0,0,1,0
"381_36","Trapezoidal",1,1,0,0,1,0
"381_37","Trapezoidal",1,1,0,0,1,0
"381_38","Trapezoidal",1,1,0,0,1,0
"381_39","Trapezoidal",1,1,0,0,1,0
"381_4","Trapezoidal",1,1,0,0,1,0
"381_40","Trapezoidal",1,1,0,0,1,0
"381_41","Trapezoidal",1,1,0,0,1,0
"381_42","Trapezoidal",1,1,0,0,1,0
"381_43","Trapezoidal",1,1,0,0,1,0
"381_44","Trapezoidal",1,1,0,0,1,0
"381_45","Trapezoidal",1,1,0,0,1,0
"381_46","Trapezoidal",1,1,0,0,1,0
"381_47","Trapezoidal",1,1,0,0,1,0
"381_48","Trapezoidal",1,1,0,0,1,0
"381_49","Trapezoidal",1,1,0,0,1,0
"381_5","Trapezoidal",1,1,0,0,1,0
"381_50","Trapezoidal",1,1,0,0,1,0
"381_51","Trapezoidal",1,1,0,0,1,0
"381_52","Trapezoidal",1,1,0,0,1,0
"381_53","Trapezoidal",1,1,0,0,1,0
"381_54","Trapezoidal",1,1,0,0,1,0
"381_55","Trapezoidal",1,1,0,0,1,0
"381_56","Trapezoidal",1,1,0,0,1,0
"381_57","Trapezoidal",1,1,0,0,1,0
"381_58","Trapezoidal",1,1,0,0,1,0
"381_59","Trapezoidal",1,1,0,0,1,0
"381_6","Trapezoidal",1,1,0,0,1,0
"381_60","Trapezoidal",1,1,0,0,1,0
"381_61","Trapezoidal",1,1,0,0,1,0
"381_62","Trapezoidal",1,1,0,0,1,0
"381_63","Trapezoidal",1,1,0,0,1,0
"381_64","Trapezoidal",1,1,0,0,1,0
"381_65","Trapezoidal",1,1,0,0,1,0
"381_66","Trapezoidal",1,1,0,0,1,0
"381_67","Trapezoidal",1,1,0,0,1,0
"381_68","Trapezoidal",1,1,0,0,1,0
"381_69","Trapezoidal",1,1,0,0,1,0
"381_7","Trapezoidal",1,1,0,0,1,0
"381_70","Trapezoidal",1,1,0,0,1,0
"381_71","Trapezoidal",1,1,0,0,1,0
"381_72","Trapezoidal",1,1,0,0,1,0
"381_73","Trapezoidal",1,1,0,0,1,0
"381_74","Trapezoidal",1,1,0,0,1,0
"381_75","Trapezoidal",1,1,0,0,1,0
"381_76","Trapezoidal",1,1,0,0,1,0
"381_77","Trapezoidal",1,1,0,0,1,0
"381_78","Trapezoidal",1,1,0,0,1,0
"381_79","Trapezoidal",1,1,0,0,1,0
"381_8","Trapezoidal",1,1,0,0,1,0
"381_80","Trapezoidal",1,1,0,0,1,0
"381_81","Trapezoidal",1,1,0,0,1,0
"381_82","Trapezoidal",1,1,0,0,1,0
"381_83","Trapezoidal",1,1,0,0,1,0
"381_84","Trapezoidal",1,1,0,0,1,0
"381_85","Trapezoidal",1,1,0,0,1,0
"381_86","Trapezoidal",1,1,0,0,1,0
"381_87","Trapezoidal",1,1,0,0,1,0
"381_88","Trapezoidal",1,1,0,0,1,0
"381_89","Trapezoidal",1,1,0,0,1,0
"381_9","Trapezoidal",1,1,0,0,1,0
"381_90","Trapezoidal",1,1,0,0,1,0
"381_91","Trapezoidal",1,1,0,0,1,0
"381_92","Trapezoidal",1,1,0,0,1,0
"381_93","Trapezoidal",1,1,0,0,1,0
"381_94","Trapezoidal",1,1,0,0,1,0
"381_95","Trapezoidal",1,1,0,0,1,0
"381_96","Trapezoidal",1,1,0,0,1,0
"396_1","Trapezoidal",1,1,0,0,1,0
"396_10","Trapezoidal",1,1,0,0,1,0
"396_100","Trapezoidal",1,1,0,0,1,0
"396_101","Trapezoidal",1,1,0,0,1,0
"396_102","Trapezoidal",1,1,0,0,1,0
"396_11","Trapezoidal",1,1,0,0,1,0
"396_12","Trapezoidal",1,1,0,0,1,0
"396_13","Trapezoidal",1,1,0,0,1,0
