OBJECTID,SUBCATCHMENT_NAME,AREA(SQFT),Curve_number,Slope,Percent_Impervious,POINT_X,POINT_Y
148,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7505376,21.32741352
149,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7499567,21.32730086
150,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7497428,21.32730767
151,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7495777,21.32729259
152,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7492691,21.32721808
153,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.749214,21.32719781
154,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7491201,21.32715039
155,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7489126,21.32702736
156,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7488056,21.3269462
157,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7486106,21.32676671
158,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7484982,21.32664599
159,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7484115,21.32653154
160,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7483171,21.3263734
161,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7481401,21.32605018
162,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7481183,21.32599717
163,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.748115,21.32596818
164,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7481243,21.32594035
165,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7481793,21.325856
166,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7482456,21.32573134
167,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7483736,21.32557694
168,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7483965,21.32552071
169,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7484292,21.32539578
170,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7484856,21.32528036
171,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7485186,21.32515561
172,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7485419,21.32509975
173,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.748627,21.32499869
174,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7487064,21.32492235
175,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.748769,21.32483305
176,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7487926,21.32475376
177,2,11211635.15,55.31557618,36.40935203,0.000927115,-157.7487567,21.32460808
178,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520694,21.29826228
179,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520701,21.29818915
180,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520694,21.29818655
181,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520659,21.2981716
182,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520503,21.29816802
183,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520475,21.29816738
184,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7519752,21.29816802
185,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7519733,21.29815765
186,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7519752,21.29815503
187,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7519833,21.29814394
188,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520059,21.2981301
189,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7520401,21.29811764
190,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7521344,21.29809787
191,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7523432,21.29807377
192,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7523935,21.29806797
193,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7524707,21.29805092
194,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7525041,21.29803715
195,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7525407,21.29801235
196,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7525892,21.29797952
197,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7526165,21.29796105
198,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.752635,21.29794666
199,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7526695,21.29791978
200,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7527296,21.29788526
201,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7527892,21.29785103
202,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7528235,21.29782162
203,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7528591,21.29779101
204,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7529177,21.29774066
205,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7529667,21.2976986
206,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7529694,21.29769676
207,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.753012,21.29766823
208,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7530513,21.29764184
209,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7530853,21.29762871
210,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7531232,21.29761945
211,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7532067,21.29760873
212,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7533473,21.2976025
213,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7534775,21.29759674
214,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7535627,21.2975877
215,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.753602,21.29757987
216,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.753638,21.29756874
217,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7536717,21.29755332
218,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7537704,21.29750825
219,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7537997,21.29749484
220,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7538298,21.2974778
221,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7538603,21.29745317
222,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7539087,21.29741399
223,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.753934,21.29739352
224,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7539545,21.29737362
225,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.75401,21.29731974
226,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7540296,21.29730062
227,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7540488,21.29728065
228,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7541016,21.29722549
229,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7541218,21.2972043
230,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.754143,21.2971779
231,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7541805,21.29713123
232,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542057,21.29709972
233,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542228,21.29706967
234,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542373,21.29703794
235,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.754267,21.29697251
236,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542832,21.29694273
237,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7543002,21.29691143
238,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7543136,21.29687771
239,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7543315,21.29681575
240,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7543559,21.29673144
241,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.75437,21.29669844
242,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7543938,21.29665997
243,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544258,21.29660838
244,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544278,21.29660511
245,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544491,21.29656571
246,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544708,21.29652543
247,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544901,21.29648242
248,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7545042,21.29643689
249,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7545134,21.2963917
250,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.75452,21.29632699
251,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7545211,21.29631624
252,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.75452,21.29628295
253,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548028,21.29628295
254,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548276,21.29628474
255,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548555,21.29629649
256,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548807,21.2963195
257,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.754897,21.29633894
258,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549138,21.29635891
259,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.754939,21.29637721
260,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549693,21.29639916
261,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549913,21.29642995
262,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550007,21.29644318
263,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550105,21.2964523
264,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550393,21.29646474
265,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550748,21.29647043
266,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550972,21.29647146
267,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7551339,21.29647316
268,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556511,21.29647146
269,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556528,21.29647908
270,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556511,21.29648454
271,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556488,21.29649146
272,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556385,21.29650619
273,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7556211,21.29652078
274,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7555299,21.29656572
275,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7555137,21.29657372
276,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7554893,21.29658851
277,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7554704,21.29660482
278,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7554626,21.2966131
279,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7554183,21.29665997
280,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.755394,21.2966857
281,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553742,21.29672865
282,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553683,21.29674611
283,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553505,21.29679926
284,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553402,21.29682036
285,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553209,21.29684847
286,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7553018,21.2968762
287,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552925,21.29689835
288,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552806,21.29694927
289,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552741,21.29698931
290,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552629,21.29705729
291,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552459,21.29710309
292,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7552226,21.29713123
293,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7551798,21.29718282
294,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7551605,21.29720615
295,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.755138,21.29722549
296,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7551077,21.29725154
297,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550855,21.29727738
298,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550493,21.29731974
299,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7550156,21.29735905
300,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549937,21.29739415
301,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549913,21.29741399
302,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7549669,21.29742182
303,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.754897,21.29746228
304,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548798,21.29747226
305,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7548047,21.29750825
306,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7547551,21.297532
307,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7547085,21.29755935
308,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7546823,21.29757474
309,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7546163,21.2976025
310,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7545485,21.29763097
311,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.75452,21.29764457
312,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544847,21.29766143
313,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7544098,21.29768081
314,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542759,21.29769676
315,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7542414,21.29770086
316,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7541599,21.2977136
317,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7541224,21.29772329
318,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7540885,21.2977365
319,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7540488,21.29776186
320,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7540031,21.29779101
321,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7539545,21.297822
322,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7539159,21.29784664
323,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7538838,21.29786171
324,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7538141,21.29788526
325,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7537429,21.29790931
326,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7537109,21.2979244
327,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7536717,21.29794978
328,4,244206.8928,60.82817617,20.19128626,38.51763637,-157.7536259,21.29797951
